|dates|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Rockingham_NewHampshire_UnitedStates.NYT_ConfirmedCases.data|Rockingham_NewHampshire_UnitedStates.NYT_ConfirmedCases.missing|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|30304.0|0|30304.0|0|297.0|0|0.0|100
0|2021-10-18|30556.0|0|30556.0|0|297.0|0|0.0|100
0|2021-10-19|30623.0|0|30623.0|0|301.0|0|0.0|100
0|2021-10-20|30738.0|0|30738.0|0|302.0|0|0.0|100
0|2021-10-21|30824.0|0|30824.0|0|302.0|0|0.0|100
0|2021-10-22|30933.0|0|30933.0|0|303.0|0|0.0|100
0|2021-10-23|30933.0|0|30933.0|0|303.0|0|0.0|100
0|2021-10-24|30933.0|0|30933.0|0|303.0|0|0.0|100
0|2021-10-25|30933.0|0|31033.0|0|303.0|0|0.0|100
0|2021-10-26|30933.0|0|31033.0|0|303.0|0|0.0|100
0|2021-10-27|31041.0|0|31041.0|0|303.0|0|0.0|100
0|2021-10-28|31041.0|0|31041.0|0|303.0|0|0.0|100
0|2021-10-29|31041.0|0|31041.0|0|303.0|0|0.0|100
0|2021-10-30|31041.0|0|31041.0|0|303.0|0|0.0|100
0|2021-10-31|31041.0|0|31041.0|0|303.0|0|0.0|100
0|2021-11-01|31041.0|0|31798.0|0|303.0|0|0.0|100
0|2021-11-02|31855.0|0|31855.0|0|307.0|0|0.0|100
0|2021-11-03|31958.0|0|31958.0|0|307.0|0|0.0|100
0|2021-11-04|32109.0|0|32109.0|0|310.0|0|0.0|100
0|2021-11-05|32264.0|0|32264.0|0|311.0|0|0.0|100
0|2021-11-06|32264.0|0|32264.0|0|311.0|0|0.0|100
0|2021-11-07|32264.0|0|32264.0|0|311.0|0|0.0|100
0|2021-11-08|32641.0|0|32641.0|0|312.0|0|0.0|100
0|2021-11-09|32715.0|0|32715.0|0|314.0|0|0.0|100
0|2021-11-10|32868.0|0|32868.0|0|314.0|0|0.0|100
0|2021-11-11|32868.0|0|32868.0|0|314.0|0|0.0|100
0|2021-11-12|33267.0|0|33267.0|0|315.0|0|0.0|100
