|dates|Newport_RhodeIsland_UnitedStates.JHU_ConfirmedCases.data|Newport_RhodeIsland_UnitedStates.JHU_ConfirmedCases.missing|Newport_RhodeIsland_UnitedStates.NYT_ConfirmedCases.data|Newport_RhodeIsland_UnitedStates.NYT_ConfirmedCases.missing|Newport_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.data|Newport_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.missing|Newport_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.data|Newport_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8560.0|0|8560.0|0|51.0|0|0.0|100
0|2021-10-18|8560.0|0|8560.0|0|51.0|0|0.0|100
0|2021-10-19|8560.0|0|8560.0|0|51.0|0|0.0|100
0|2021-10-20|8693.0|0|8693.0|0|51.0|0|0.0|100
0|2021-10-21|8693.0|0|8693.0|0|51.0|0|0.0|100
0|2021-10-22|8693.0|0|8693.0|0|51.0|0|0.0|100
0|2021-10-23|8693.0|0|8693.0|0|51.0|0|0.0|100
0|2021-10-24|8693.0|0|8693.0|0|51.0|0|0.0|100
0|2021-10-25|8693.0|0|8693.0|0|51.0|0|0.0|100
0|2021-10-26|8693.0|0|8693.0|0|51.0|0|0.0|100
0|2021-10-27|8809.0|0|8809.0|0|51.0|0|0.0|100
0|2021-10-28|8809.0|0|8809.0|0|51.0|0|0.0|100
0|2021-10-29|8809.0|0|8809.0|0|51.0|0|0.0|100
0|2021-10-30|8809.0|0|8809.0|0|51.0|0|0.0|100
0|2021-10-31|8809.0|0|8809.0|0|51.0|0|0.0|100
0|2021-11-01|8809.0|0|8809.0|0|51.0|0|0.0|100
0|2021-11-02|8809.0|0|8809.0|0|51.0|0|0.0|100
0|2021-11-03|8908.0|0|8908.0|0|52.0|0|0.0|100
0|2021-11-04|8908.0|0|8908.0|0|52.0|0|0.0|100
0|2021-11-05|8908.0|0|8908.0|0|52.0|0|0.0|100
0|2021-11-06|8908.0|0|8908.0|0|52.0|0|0.0|100
0|2021-11-07|8908.0|0|8908.0|0|52.0|0|0.0|100
0|2021-11-08|8908.0|0|8908.0|0|52.0|0|0.0|100
