|dates|Huerfano_Colorado_UnitedStates.JHU_ConfirmedCases.data|Huerfano_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Huerfano_Colorado_UnitedStates.NYT_ConfirmedCases.data|Huerfano_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Huerfano_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Huerfano_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Huerfano_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Huerfano_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|602.0|0|602.0|0|19.0|0|0.0|100
0|2021-10-18|607.0|0|607.0|0|19.0|0|0.0|100
0|2021-10-19|611.0|0|611.0|0|19.0|0|0.0|100
0|2021-10-20|614.0|0|614.0|0|19.0|0|0.0|100
0|2021-10-21|618.0|0|618.0|0|19.0|0|0.0|100
0|2021-10-22|622.0|0|622.0|0|19.0|0|0.0|100
0|2021-10-23|622.0|0|622.0|0|19.0|0|0.0|100
0|2021-10-24|622.0|0|622.0|0|19.0|0|0.0|100
0|2021-10-25|639.0|0|639.0|0|19.0|0|0.0|100
0|2021-10-26|647.0|0|647.0|0|19.0|0|0.0|100
0|2021-10-27|648.0|0|648.0|0|19.0|0|0.0|100
0|2021-10-28|659.0|0|659.0|0|19.0|0|0.0|100
0|2021-10-29|665.0|0|665.0|0|19.0|0|0.0|100
0|2021-10-30|665.0|0|665.0|0|19.0|0|0.0|100
0|2021-10-31|665.0|0|665.0|0|19.0|0|0.0|100
0|2021-11-01|685.0|0|685.0|0|19.0|0|0.0|100
0|2021-11-02|688.0|0|688.0|0|19.0|0|0.0|100
0|2021-11-03|691.0|0|691.0|0|19.0|0|0.0|100
0|2021-11-04|704.0|0|704.0|0|19.0|0|0.0|100
0|2021-11-05|711.0|0|711.0|0|19.0|0|0.0|100
0|2021-11-06|711.0|0|711.0|0|19.0|0|0.0|100
0|2021-11-07|711.0|0|711.0|0|19.0|0|0.0|100
0|2021-11-08|725.0|0|725.0|0|19.0|0|0.0|100
0|2021-11-09|728.0|0|728.0|0|19.0|0|0.0|100
0|2021-11-10|728.0|0|732.0|0|19.0|0|0.0|100
0|2021-11-11|738.0|0|738.0|0|20.0|0|0.0|100
0|2021-11-12|740.0|0|740.0|0|20.0|0|0.0|100
0|2021-11-13|740.0|0|740.0|0|20.0|0|0.0|100
0|2021-11-14|740.0|0|740.0|0|20.0|0|0.0|100
0|2021-11-15|745.0|0|745.0|0|21.0|0|0.0|100
0|2021-11-16|747.0|0|747.0|0|21.0|0|0.0|100
0|2021-11-17|755.0|0|755.0|0|21.0|0|0.0|100
0|2021-11-18|773.0|0|773.0|0|21.0|0|0.0|100
0|2021-11-19|780.0|0|780.0|0|21.0|0|0.0|100
0|2021-11-20|780.0|0|780.0|0|21.0|0|0.0|100
0|2021-11-21|780.0|0|780.0|0|21.0|0|0.0|100
0|2021-11-22|783.0|0|783.0|0|21.0|0|0.0|100
0|2021-11-23|791.0|0|791.0|0|21.0|0|0.0|100
0|2021-11-24|794.0|0|794.0|0|21.0|0|0.0|100
0|2021-11-25|815.0|0|815.0|0|21.0|0|0.0|100
0|2021-11-26|817.0|0|815.0|0|21.0|0|0.0|100
0|2021-11-27|817.0|0|815.0|0|21.0|0|0.0|100
0|2021-11-28|817.0|0|817.0|0|21.0|0|0.0|100
0|2021-11-29|826.0|0|826.0|0|21.0|0|0.0|100
0|2021-11-30|835.0|0|835.0|0|21.0|0|0.0|100
0|2021-12-01|835.0|0|839.0|0|21.0|0|0.0|100
0|2021-12-02|845.0|0|845.0|0|21.0|0|0.0|100
0|2021-12-03|845.0|0|845.0|0|22.0|0|0.0|100
0|2021-12-04|845.0|0|845.0|0|22.0|0|0.0|100
0|2021-12-05|845.0|0|845.0|0|22.0|0|0.0|100
0|2021-12-06|848.0|0|848.0|0|22.0|0|0.0|100
0|2021-12-07|857.0|0|857.0|0|23.0|0|0.0|100
0|2021-12-08|857.0|0|857.0|0|23.0|0|0.0|100
0|2021-12-09|868.0|0|868.0|0|23.0|0|0.0|100
0|2021-12-10|870.0|0|870.0|0|23.0|0|0.0|100
0|2021-12-11|870.0|0|870.0|0|23.0|0|0.0|100
0|2021-12-12|870.0|0|870.0|0|23.0|0|0.0|100
0|2021-12-13|876.0|0|876.0|0|23.0|0|0.0|100
0|2021-12-14|876.0|0|877.0|0|23.0|0|0.0|100
0|2021-12-15|885.0|0|885.0|0|23.0|0|0.0|100
0|2021-12-16|888.0|0|888.0|0|23.0|0|0.0|100
0|2021-12-17|891.0|0|891.0|0|23.0|0|0.0|100
0|2021-12-18|891.0|0|891.0|0|23.0|0|0.0|100
0|2021-12-19|891.0|0|891.0|0|23.0|0|0.0|100
0|2021-12-20|904.0|0|904.0|0|24.0|0|0.0|100
0|2021-12-21|904.0|0|904.0|0|26.0|0|0.0|100
0|2021-12-22|905.0|0|905.0|0|26.0|0|0.0|100
0|2021-12-23|909.0|0|909.0|0|26.0|0|0.0|100
0|2021-12-24|911.0|0|911.0|0|26.0|0|0.0|100
0|2021-12-25|911.0|0|911.0|0|26.0|0|0.0|100
0|2021-12-26|911.0|0|911.0|0|26.0|0|0.0|100
0|2021-12-27|912.0|0|912.0|0|26.0|0|0.0|100
0|2021-12-28|913.0|0|913.0|0|26.0|0|0.0|100
0|2021-12-29|915.0|0|915.0|0|26.0|0|0.0|100
0|2021-12-30|926.0|0|926.0|0|26.0|0|0.0|100
0|2021-12-31|937.0|0|937.0|0|27.0|0|0.0|100
0|2022-01-01|937.0|0|937.0|0|27.0|0|0.0|100
0|2022-01-02|937.0|0|937.0|0|27.0|0|0.0|100
0|2022-01-03|948.0|0|948.0|0|27.0|0|0.0|100
0|2022-01-04|950.0|0|950.0|0|27.0|0|0.0|100
0|2022-01-05|957.0|0|957.0|0|27.0|0|0.0|100
0|2022-01-06|963.0|0|963.0|0|27.0|0|0.0|100
0|2022-01-07|964.0|0|964.0|0|27.0|0|0.0|100
0|2022-01-08|964.0|0|964.0|0|27.0|0|0.0|100
0|2022-01-09|964.0|0|964.0|0|27.0|0|0.0|100
0|2022-01-10|1012.0|0|1012.0|0|27.0|0|0.0|100
0|2022-01-11|1015.0|0|1015.0|0|27.0|0|0.0|100
0|2022-01-12|1023.0|0|1023.0|0|27.0|0|0.0|100
0|2022-01-13|1023.0|0|1050.0|0|27.0|0|0.0|100
0|2022-01-14|1086.0|0|1068.0|0|28.0|0|0.0|100
0|2022-01-15|1086.0|0|1086.0|0|28.0|0|0.0|100
