|dates|Bracken_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Bracken_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Bracken_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Bracken_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Bracken_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Bracken_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Bracken_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Bracken_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1075.0|0|1075.0|0|8.0|0|0.0|100
0|2021-10-18|1075.0|0|1075.0|0|8.0|0|0.0|100
0|2021-10-19|1084.0|0|1084.0|0|8.0|0|0.0|100
0|2021-10-20|1088.0|0|1088.0|0|10.0|0|0.0|100
0|2021-10-21|1097.0|0|1097.0|0|10.0|0|0.0|100
0|2021-10-22|1098.0|0|1098.0|0|10.0|0|0.0|100
0|2021-10-23|1098.0|0|1098.0|0|10.0|0|0.0|100
0|2021-10-24|1098.0|0|1098.0|0|10.0|0|0.0|100
0|2021-10-25|835.0|0|1103.0|0|8.0|0|0.0|100
0|2021-10-26|1108.0|0|1108.0|0|10.0|0|0.0|100
0|2021-10-27|1113.0|0|1113.0|0|10.0|0|0.0|100
0|2021-10-28|1119.0|0|1119.0|0|10.0|0|0.0|100
0|2021-10-29|1124.0|0|1124.0|0|10.0|0|0.0|100
0|2021-10-30|1124.0|0|1124.0|0|10.0|0|0.0|100
0|2021-10-31|1124.0|0|1124.0|0|10.0|0|0.0|100
0|2021-11-01|1127.0|0|1127.0|0|10.0|0|0.0|100
0|2021-11-02|1132.0|0|1132.0|0|10.0|0|0.0|100
0|2021-11-03|1137.0|0|1137.0|0|10.0|0|0.0|100
0|2021-11-04|1144.0|0|1144.0|0|10.0|0|0.0|100
0|2021-11-05|1150.0|0|1150.0|0|10.0|0|0.0|100
0|2021-11-06|1150.0|0|1150.0|0|10.0|0|0.0|100
0|2021-11-07|1150.0|0|1150.0|0|10.0|0|0.0|100
0|2021-11-08|1155.0|0|1155.0|0|10.0|0|0.0|100
0|2021-11-09|1163.0|0|1163.0|0|11.0|0|0.0|100
0|2021-11-10|1163.0|0|1172.0|0|11.0|0|0.0|100
0|2021-11-11|1172.0|0|1172.0|0|11.0|0|0.0|100
0|2021-11-12|1180.0|0|1180.0|0|11.0|0|0.0|100
0|2021-11-13|1180.0|0|1180.0|0|11.0|0|0.0|100
