|dates|Greer_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Greer_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Greer_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Greer_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Greer_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Greer_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Greer_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Greer_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|739.0|0|739.0|0|23.0|0|0.0|100
0|2021-10-18|739.0|0|739.0|0|23.0|0|0.0|100
0|2021-10-19|739.0|0|739.0|0|23.0|0|0.0|100
0|2021-10-20|744.0|0|744.0|0|25.0|0|0.0|100
0|2021-10-21|744.0|0|744.0|0|25.0|0|0.0|100
0|2021-10-22|744.0|0|744.0|0|25.0|0|0.0|100
0|2021-10-23|744.0|0|744.0|0|25.0|0|0.0|100
0|2021-10-24|744.0|0|744.0|0|25.0|0|0.0|100
0|2021-10-25|744.0|0|744.0|0|25.0|0|0.0|100
0|2021-10-26|744.0|0|744.0|0|25.0|0|0.0|100
0|2021-10-27|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-10-28|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-10-29|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-10-30|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-10-31|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-01|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-02|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-03|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-04|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-05|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-06|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-07|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-08|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-09|748.0|0|748.0|0|25.0|0|0.0|100
0|2021-11-10|748.0|0|756.0|0|25.0|0|0.0|100
0|2021-11-11|748.0|0|756.0|0|25.0|0|0.0|100
0|2021-11-12|756.0|0|756.0|0|25.0|0|0.0|100
0|2021-11-13|756.0|0|756.0|0|25.0|0|0.0|100
0|2021-11-14|756.0|0|756.0|0|25.0|0|0.0|100
0|2021-11-15|756.0|0|756.0|0|25.0|0|0.0|100
0|2021-11-16|756.0|0|756.0|0|25.0|0|0.0|100
0|2021-11-17|766.0|0|766.0|0|25.0|0|0.0|100
0|2021-11-18|766.0|0|766.0|0|25.0|0|0.0|100
0|2021-11-19|766.0|0|766.0|0|25.0|0|0.0|100
0|2021-11-20|766.0|0|766.0|0|25.0|0|0.0|100
0|2021-11-21|766.0|0|766.0|0|25.0|0|0.0|100
0|2021-11-22|766.0|0|766.0|0|25.0|0|0.0|100
0|2021-11-23|766.0|0|766.0|0|25.0|0|0.0|100
0|2021-11-24|777.0|0|777.0|0|25.0|0|0.0|100
0|2021-11-25|777.0|0|777.0|0|25.0|0|0.0|100
