|dates|LaPaz_Arizona_UnitedStates.JHU_ConfirmedCases.data|LaPaz_Arizona_UnitedStates.JHU_ConfirmedCases.missing|LaPaz_Arizona_UnitedStates.NYT_ConfirmedCases.data|LaPaz_Arizona_UnitedStates.NYT_ConfirmedCases.missing|LaPaz_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|LaPaz_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|LaPaz_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|LaPaz_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3103.0|0|3103.0|0|97.0|0|0.0|100
0|2021-10-18|3103.0|0|3103.0|0|97.0|0|0.0|100
0|2021-10-19|3119.0|0|3119.0|0|97.0|0|0.0|100
0|2021-10-20|3126.0|0|3126.0|0|96.0|0|0.0|100
0|2021-10-21|3136.0|0|3136.0|0|96.0|0|0.0|100
0|2021-10-22|3146.0|0|3146.0|0|97.0|0|0.0|100
0|2021-10-23|3150.0|0|3150.0|0|97.0|0|0.0|100
0|2021-10-24|3151.0|0|3151.0|0|97.0|0|0.0|100
0|2021-10-25|3152.0|0|3152.0|0|97.0|0|0.0|100
0|2021-10-26|3158.0|0|3158.0|0|98.0|0|0.0|100
0|2021-10-27|3174.0|0|3174.0|0|98.0|0|0.0|100
0|2021-10-28|3178.0|0|3178.0|0|98.0|0|0.0|100
0|2021-10-29|3194.0|0|3194.0|0|98.0|0|0.0|100
0|2021-10-30|3196.0|0|3196.0|0|99.0|0|0.0|100
0|2021-10-31|3208.0|0|3208.0|0|99.0|0|0.0|100
0|2021-11-01|3213.0|0|3213.0|0|99.0|0|0.0|100
0|2021-11-02|3218.0|0|3218.0|0|99.0|0|0.0|100
0|2021-11-03|3220.0|0|3220.0|0|99.0|0|0.0|100
0|2021-11-04|3232.0|0|3232.0|0|99.0|0|0.0|100
0|2021-11-05|3241.0|0|3241.0|0|99.0|0|0.0|100
0|2021-11-06|3244.0|0|3244.0|0|100.0|0|0.0|100
0|2021-11-07|3250.0|0|3250.0|0|100.0|0|0.0|100
0|2021-11-08|3253.0|0|3253.0|0|100.0|0|0.0|100
0|2021-11-09|3255.0|0|3255.0|0|100.0|0|0.0|100
0|2021-11-10|3255.0|0|3259.0|0|100.0|0|0.0|100
0|2021-11-11|3266.0|0|3266.0|0|101.0|0|0.0|100
0|2021-11-12|3283.0|0|3283.0|0|101.0|0|0.0|100
0|2021-11-13|3287.0|0|3287.0|0|102.0|0|0.0|100
0|2021-11-14|3296.0|0|3296.0|0|102.0|0|0.0|100
0|2021-11-15|3303.0|0|3303.0|0|102.0|0|0.0|100
0|2021-11-16|3308.0|0|3308.0|0|102.0|0|0.0|100
