|dates|Jackson_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Jackson_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Jackson_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4185.0|0|4185.0|0|42.0|0|0.0|100
0|2021-10-18|4187.0|0|4187.0|0|42.0|0|0.0|100
0|2021-10-19|4205.0|0|4205.0|0|42.0|0|0.0|100
0|2021-10-20|4219.0|0|4219.0|0|42.0|0|0.0|100
0|2021-10-21|4232.0|0|4232.0|0|42.0|0|0.0|100
0|2021-10-22|4247.0|0|4247.0|0|42.0|0|0.0|100
0|2021-10-23|4251.0|0|4251.0|0|42.0|0|0.0|100
0|2021-10-24|4257.0|0|4257.0|0|42.0|0|0.0|100
0|2021-10-25|4262.0|0|4262.0|0|42.0|0|0.0|100
0|2021-10-26|4267.0|0|4267.0|0|42.0|0|0.0|100
0|2021-10-27|4275.0|0|4275.0|0|42.0|0|0.0|100
0|2021-10-28|4281.0|0|4281.0|0|43.0|0|0.0|100
0|2021-10-29|4296.0|0|4296.0|0|43.0|0|0.0|100
0|2021-10-30|4298.0|0|4298.0|0|43.0|0|0.0|100
0|2021-10-31|4311.0|0|4311.0|0|43.0|0|0.0|100
0|2021-11-01|4315.0|0|4315.0|0|43.0|0|0.0|100
0|2021-11-02|4322.0|0|4322.0|0|45.0|0|0.0|100
0|2021-11-03|4336.0|0|4336.0|0|45.0|0|0.0|100
0|2021-11-04|4341.0|0|4341.0|0|45.0|0|0.0|100
0|2021-11-05|4353.0|0|4353.0|0|45.0|0|0.0|100
0|2021-11-06|4360.0|0|4360.0|0|45.0|0|0.0|100
0|2021-11-07|4363.0|0|4363.0|0|45.0|0|0.0|100
0|2021-11-08|4363.0|0|4364.0|0|45.0|0|0.0|100
0|2021-11-09|4389.0|0|4389.0|0|46.0|0|0.0|100
0|2021-11-10|4389.0|0|4400.0|0|46.0|0|0.0|100
0|2021-11-11|4413.0|0|4413.0|0|46.0|0|0.0|100
0|2021-11-12|4430.0|0|4430.0|0|46.0|0|0.0|100
0|2021-11-13|4433.0|0|4433.0|0|46.0|0|0.0|100
0|2021-11-14|4437.0|0|4437.0|0|46.0|0|0.0|100
0|2021-11-15|4439.0|0|4439.0|0|46.0|0|0.0|100
0|2021-11-16|4446.0|0|4446.0|0|46.0|0|0.0|100
0|2021-11-17|4460.0|0|4460.0|0|46.0|0|0.0|100
0|2021-11-18|4464.0|0|4464.0|0|46.0|0|0.0|100
0|2021-11-19|4485.0|0|4485.0|0|46.0|0|0.0|100
0|2021-11-20|4495.0|0|4495.0|0|46.0|0|0.0|100
0|2021-11-21|4501.0|0|4501.0|0|46.0|0|0.0|100
0|2021-11-22|4503.0|0|4503.0|0|46.0|0|0.0|100
