|dates|SantaBarbara_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SantaBarbara_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SantaBarbara_California_UnitedStates.Male_Total_Population.data|SantaBarbara_California_UnitedStates.Male_Total_Population.missing|SantaBarbara_California_UnitedStates.Female_Total_Population.data|SantaBarbara_California_UnitedStates.Female_Total_Population.missing|SantaBarbara_California_UnitedStates.MaleAndFemale_Under18_Population.data|SantaBarbara_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-18|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-19|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-20|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-21|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-22|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-23|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-24|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-25|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-26|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-27|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-28|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-29|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-30|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-10-31|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-01|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-02|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-03|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-04|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-05|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-06|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-07|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-08|68465.0|0|223377.0|0|223150.0|0|98787.0|0
0|2021-11-09|68465.0|0|223377.0|0|223150.0|0|98787.0|0
