|dates|Marion_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Marion_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Marion_Oregon_UnitedStates.Male_Total_Population.data|Marion_Oregon_UnitedStates.Male_Total_Population.missing|Marion_Oregon_UnitedStates.Female_Total_Population.data|Marion_Oregon_UnitedStates.Female_Total_Population.missing|Marion_Oregon_UnitedStates.MaleAndFemale_Under18_Population.data|Marion_Oregon_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-18|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-19|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-20|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-21|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-22|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-23|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-24|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-25|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-26|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-27|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-28|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-29|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-30|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-10-31|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-01|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-02|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-03|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-04|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-05|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-06|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-07|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-08|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-09|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-10|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-11|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-12|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-13|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-14|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-15|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-16|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-17|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-18|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-19|54349.0|0|172899.0|0|173969.0|0|85432.0|0
0|2021-11-20|54349.0|0|172899.0|0|173969.0|0|85432.0|0
