|dates|Edgefield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Edgefield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Edgefield_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Edgefield_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Edgefield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Edgefield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Edgefield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Edgefield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4379.0|0|4379.0|0|54.0|0|0.0|100
0|2021-10-18|4395.0|0|4395.0|0|54.0|0|0.0|100
0|2021-10-19|4395.0|0|4395.0|0|54.0|0|0.0|100
0|2021-10-20|4417.0|0|4417.0|0|55.0|0|0.0|100
0|2021-10-21|4419.0|0|4419.0|0|57.0|0|0.0|100
0|2021-10-22|4419.0|0|4419.0|0|57.0|0|0.0|100
0|2021-10-23|4419.0|0|4419.0|0|57.0|0|0.0|100
0|2021-10-24|4419.0|0|4419.0|0|57.0|0|0.0|100
0|2021-10-25|4423.0|0|4423.0|0|57.0|0|0.0|100
0|2021-10-26|4425.0|0|4425.0|0|57.0|0|0.0|100
0|2021-10-27|4428.0|0|4428.0|0|57.0|0|0.0|100
0|2021-10-28|4428.0|0|4428.0|0|57.0|0|0.0|100
0|2021-10-29|4429.0|0|4429.0|0|57.0|0|0.0|100
0|2021-10-30|4429.0|0|4429.0|0|57.0|0|0.0|100
0|2021-10-31|4429.0|0|4429.0|0|57.0|0|0.0|100
0|2021-11-01|4435.0|0|4435.0|0|57.0|0|0.0|100
0|2021-11-02|4435.0|0|4435.0|0|57.0|0|0.0|100
0|2021-11-03|4439.0|0|4439.0|0|57.0|0|0.0|100
0|2021-11-04|4441.0|0|4441.0|0|57.0|0|0.0|100
0|2021-11-05|4441.0|0|4441.0|0|57.0|0|0.0|100
0|2021-11-06|4441.0|0|4441.0|0|57.0|0|0.0|100
0|2021-11-07|4441.0|0|4441.0|0|57.0|0|0.0|100
0|2021-11-08|4448.0|0|4448.0|0|57.0|0|0.0|100
0|2021-11-09|4449.0|0|4449.0|0|57.0|0|0.0|100
0|2021-11-10|4469.0|0|4469.0|0|57.0|0|0.0|100
0|2021-11-11|4469.0|0|4469.0|0|57.0|0|0.0|100
0|2021-11-12|4471.0|0|4471.0|0|57.0|0|0.0|100
0|2021-11-13|4471.0|0|4471.0|0|57.0|0|0.0|100
0|2021-11-14|4471.0|0|4471.0|0|57.0|0|0.0|100
0|2021-11-15|4482.0|0|4482.0|0|57.0|0|0.0|100
0|2021-11-16|4483.0|0|4483.0|0|57.0|0|0.0|100
0|2021-11-17|4488.0|0|4488.0|0|57.0|0|0.0|100
0|2021-11-18|4491.0|0|4491.0|0|57.0|0|0.0|100
0|2021-11-19|4492.0|0|4492.0|0|57.0|0|0.0|100
0|2021-11-20|4492.0|0|4492.0|0|57.0|0|0.0|100
0|2021-11-21|4492.0|0|4492.0|0|57.0|0|0.0|100
