|dates|Crockett_Texas_UnitedStates.JHU_ConfirmedCases.data|Crockett_Texas_UnitedStates.JHU_ConfirmedCases.missing|Crockett_Texas_UnitedStates.NYT_ConfirmedCases.data|Crockett_Texas_UnitedStates.NYT_ConfirmedCases.missing|Crockett_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Crockett_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Crockett_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Crockett_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|779.0|0|779.0|0|16.0|0|0.0|100
0|2021-10-18|779.0|0|779.0|0|16.0|0|0.0|100
0|2021-10-19|779.0|0|779.0|0|16.0|0|0.0|100
0|2021-10-20|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-21|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-22|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-23|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-24|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-25|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-26|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-27|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-28|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-29|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-30|780.0|0|780.0|0|16.0|0|0.0|100
0|2021-10-31|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-01|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-02|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-03|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-04|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-05|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-06|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-07|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-08|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-09|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-10|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-11|781.0|0|781.0|0|16.0|0|0.0|100
0|2021-11-12|783.0|0|783.0|0|16.0|0|0.0|100
0|2021-11-13|785.0|0|785.0|0|16.0|0|0.0|100
0|2021-11-14|785.0|0|785.0|0|16.0|0|0.0|100
0|2021-11-15|785.0|0|785.0|0|16.0|0|0.0|100
0|2021-11-16|785.0|0|785.0|0|16.0|0|0.0|100
0|2021-11-17|785.0|0|785.0|0|16.0|0|0.0|100
0|2021-11-18|785.0|0|785.0|0|16.0|0|0.0|100
0|2021-11-19|785.0|0|785.0|0|16.0|0|0.0|100
0|2021-11-20|786.0|0|786.0|0|16.0|0|0.0|100
0|2021-11-21|786.0|0|786.0|0|16.0|0|0.0|100
0|2021-11-22|786.0|0|786.0|0|16.0|0|0.0|100
0|2021-11-23|788.0|0|788.0|0|16.0|0|0.0|100
0|2021-11-24|788.0|0|788.0|0|16.0|0|0.0|100
0|2021-11-25|788.0|0|788.0|0|16.0|0|0.0|100
0|2021-11-26|788.0|0|788.0|0|16.0|0|0.0|100
0|2021-11-27|788.0|0|788.0|0|16.0|0|0.0|100
0|2021-11-28|788.0|0|788.0|0|16.0|0|0.0|100
0|2021-11-29|789.0|0|789.0|0|16.0|0|0.0|100
0|2021-11-30|790.0|0|790.0|0|16.0|0|0.0|100
0|2021-12-01|790.0|0|790.0|0|17.0|0|0.0|100
0|2021-12-02|791.0|0|791.0|0|17.0|0|0.0|100
0|2021-12-03|791.0|0|791.0|0|17.0|0|0.0|100
0|2021-12-04|791.0|0|793.0|0|17.0|0|0.0|100
0|2021-12-05|793.0|0|793.0|0|17.0|0|0.0|100
0|2021-12-06|793.0|0|793.0|0|17.0|0|0.0|100
0|2021-12-07|793.0|0|793.0|0|17.0|0|0.0|100
0|2021-12-08|793.0|0|793.0|0|17.0|0|0.0|100
0|2021-12-09|793.0|0|793.0|0|17.0|0|0.0|100
0|2021-12-10|794.0|0|794.0|0|17.0|0|0.0|100
0|2021-12-11|795.0|0|795.0|0|17.0|0|0.0|100
0|2021-12-12|795.0|0|795.0|0|17.0|0|0.0|100
0|2021-12-13|795.0|0|795.0|0|17.0|0|0.0|100
0|2021-12-14|795.0|0|795.0|0|17.0|0|0.0|100
0|2021-12-15|796.0|0|796.0|0|17.0|0|0.0|100
0|2021-12-16|796.0|0|796.0|0|17.0|0|0.0|100
0|2021-12-17|796.0|0|796.0|0|17.0|0|0.0|100
0|2021-12-18|796.0|0|796.0|0|17.0|0|0.0|100
0|2021-12-19|796.0|0|796.0|0|17.0|0|0.0|100
0|2021-12-20|796.0|0|796.0|0|17.0|0|0.0|100
0|2021-12-21|796.0|0|796.0|0|17.0|0|0.0|100
0|2021-12-22|797.0|0|797.0|0|17.0|0|0.0|100
0|2021-12-23|797.0|0|797.0|0|17.0|0|0.0|100
