|dates|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Landry_Louisiana_UnitedStates.NYT_ConfirmedCases.data|St.Landry_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|13904.0|0|13904.0|0|342.0|0|0.0|100
0|2021-10-18|13924.0|0|13924.0|0|343.0|0|0.0|100
0|2021-10-19|13932.0|0|13932.0|0|344.0|0|0.0|100
0|2021-10-20|13937.0|0|13937.0|0|344.0|0|0.0|100
0|2021-10-21|13983.0|0|13983.0|0|344.0|0|0.0|100
0|2021-10-22|14006.0|0|14006.0|0|344.0|0|0.0|100
0|2021-10-23|14006.0|0|14006.0|0|344.0|0|0.0|100
0|2021-10-24|14006.0|0|14006.0|0|344.0|0|0.0|100
0|2021-10-25|14039.0|0|14039.0|0|344.0|0|0.0|100
0|2021-10-26|14048.0|0|14048.0|0|344.0|0|0.0|100
0|2021-10-27|14081.0|0|14081.0|0|344.0|0|0.0|100
0|2021-10-28|14095.0|0|14095.0|0|344.0|0|0.0|100
0|2021-10-29|14103.0|0|14103.0|0|345.0|0|0.0|100
0|2021-10-30|14103.0|0|14103.0|0|345.0|0|0.0|100
0|2021-10-31|14103.0|0|14103.0|0|345.0|0|0.0|100
0|2021-11-01|14134.0|0|14134.0|0|346.0|0|0.0|100
0|2021-11-02|14144.0|0|14144.0|0|346.0|0|0.0|100
0|2021-11-03|14161.0|0|14161.0|0|346.0|0|0.0|100
0|2021-11-04|14177.0|0|14177.0|0|346.0|0|0.0|100
0|2021-11-05|14188.0|0|14188.0|0|346.0|0|0.0|100
0|2021-11-06|14188.0|0|14188.0|0|346.0|0|0.0|100
0|2021-11-07|14188.0|0|14188.0|0|346.0|0|0.0|100
0|2021-11-08|14221.0|0|14221.0|0|347.0|0|0.0|100
0|2021-11-09|14227.0|0|14227.0|0|347.0|0|0.0|100
0|2021-11-10|14227.0|0|14242.0|0|347.0|0|0.0|100
0|2021-11-11|14242.0|0|14242.0|0|347.0|0|0.0|100
0|2021-11-12|14258.0|0|14258.0|0|347.0|0|0.0|100
0|2021-11-13|14258.0|0|14258.0|0|347.0|0|0.0|100
0|2021-11-14|14258.0|0|14258.0|0|347.0|0|0.0|100
0|2021-11-15|14277.0|0|14277.0|0|347.0|0|0.0|100
0|2021-11-16|14280.0|0|14280.0|0|347.0|0|0.0|100
0|2021-11-17|14296.0|0|14296.0|0|347.0|0|0.0|100
0|2021-11-18|14302.0|0|14302.0|0|347.0|0|0.0|100
0|2021-11-19|14313.0|0|14313.0|0|347.0|0|0.0|100
0|2021-11-20|14313.0|0|14313.0|0|347.0|0|0.0|100
0|2021-11-21|14313.0|0|14313.0|0|347.0|0|0.0|100
0|2021-11-22|14325.0|0|14325.0|0|347.0|0|0.0|100
0|2021-11-23|14348.0|0|14348.0|0|349.0|0|0.0|100
0|2021-11-24|14356.0|0|14356.0|0|349.0|0|0.0|100
0|2021-11-25|14356.0|0|14356.0|0|349.0|0|0.0|100
