|dates|Garfield_Utah_UnitedStates.JHU_ConfirmedCases.data|Garfield_Utah_UnitedStates.JHU_ConfirmedCases.missing|Garfield_Utah_UnitedStates.NYT_ConfirmedCases.data|Garfield_Utah_UnitedStates.NYT_ConfirmedCases.missing|Garfield_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Garfield_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Garfield_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Garfield_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1.0|0|636.0|0|0.0|0|0.0|100
0|2021-10-18|1.0|0|636.0|0|0.0|0|0.0|100
0|2021-10-19|1.0|0|643.0|0|0.0|0|0.0|100
0|2021-10-20|1.0|0|644.0|0|0.0|0|0.0|100
0|2021-10-21|1.0|0|644.0|0|0.0|0|0.0|100
0|2021-10-22|1.0|0|655.0|0|0.0|0|0.0|100
0|2021-10-23|1.0|0|655.0|0|0.0|0|0.0|100
0|2021-10-24|1.0|0|655.0|0|0.0|0|0.0|100
0|2021-10-25|1.0|0|660.0|0|0.0|0|0.0|100
0|2021-10-26|1.0|0|662.0|0|0.0|0|0.0|100
0|2021-10-27|1.0|0|665.0|0|0.0|0|0.0|100
0|2021-10-28|1.0|0|665.0|0|0.0|0|0.0|100
0|2021-10-29|1.0|0|669.0|0|0.0|0|0.0|100
0|2021-10-30|1.0|0|669.0|0|0.0|0|0.0|100
0|2021-10-31|1.0|0|669.0|0|0.0|0|0.0|100
0|2021-11-01|1.0|0|669.0|0|0.0|0|0.0|100
0|2021-11-02|1.0|0|676.0|0|0.0|0|0.0|100
0|2021-11-03|1.0|0|678.0|0|0.0|0|0.0|100
0|2021-11-04|1.0|0|679.0|0|0.0|0|0.0|100
0|2021-11-05|1.0|0|680.0|0|0.0|0|0.0|100
0|2021-11-06|1.0|0|680.0|0|0.0|0|0.0|100
0|2021-11-07|1.0|0|680.0|0|0.0|0|0.0|100
0|2021-11-08|1.0|0|680.0|0|0.0|0|0.0|100
0|2021-11-09|1.0|0|683.0|0|0.0|0|0.0|100
0|2021-11-10|1.0|0|683.0|0|0.0|0|0.0|100
0|2021-11-11|1.0|0|685.0|0|0.0|0|0.0|100
0|2021-11-12|1.0|0|689.0|0|0.0|0|0.0|100
0|2021-11-13|1.0|0|689.0|0|0.0|0|0.0|100
0|2021-11-14|1.0|0|689.0|0|0.0|0|0.0|100
0|2021-11-15|1.0|0|689.0|0|0.0|0|0.0|100
0|2021-11-16|1.0|0|693.0|0|0.0|0|0.0|100
0|2021-11-17|1.0|0|693.0|0|0.0|0|0.0|100
0|2021-11-18|1.0|0|696.0|0|0.0|0|0.0|100
