|dates|Bolivar_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Bolivar_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Bolivar_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Bolivar_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Bolivar_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Bolivar_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Bolivar_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Bolivar_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6266.0|0|6266.0|0|145.0|0|0.0|100
0|2021-10-18|6268.0|0|6268.0|0|146.0|0|0.0|100
0|2021-10-19|6291.0|0|6291.0|0|147.0|0|0.0|100
0|2021-10-20|6302.0|0|6302.0|0|148.0|0|0.0|100
0|2021-10-21|6313.0|0|6313.0|0|148.0|0|0.0|100
0|2021-10-22|6317.0|0|6317.0|0|148.0|0|0.0|100
0|2021-10-23|6317.0|0|6317.0|0|148.0|0|0.0|100
0|2021-10-24|6317.0|0|6317.0|0|148.0|0|0.0|100
0|2021-10-25|6323.0|0|6323.0|0|150.0|0|0.0|100
0|2021-10-26|6331.0|0|6331.0|0|150.0|0|0.0|100
0|2021-10-27|6332.0|0|6332.0|0|150.0|0|0.0|100
0|2021-10-28|6339.0|0|6339.0|0|150.0|0|0.0|100
0|2021-10-29|6344.0|0|6344.0|0|151.0|0|0.0|100
0|2021-10-30|6344.0|0|6344.0|0|151.0|0|0.0|100
0|2021-10-31|6344.0|0|6344.0|0|151.0|0|0.0|100
0|2021-11-01|6348.0|0|6348.0|0|151.0|0|0.0|100
0|2021-11-02|6361.0|0|6361.0|0|151.0|0|0.0|100
0|2021-11-03|6366.0|0|6366.0|0|151.0|0|0.0|100
0|2021-11-04|6380.0|0|6380.0|0|151.0|0|0.0|100
0|2021-11-05|6389.0|0|6389.0|0|151.0|0|0.0|100
0|2021-11-06|6389.0|0|6389.0|0|151.0|0|0.0|100
0|2021-11-07|6389.0|0|6389.0|0|151.0|0|0.0|100
0|2021-11-08|6394.0|0|6394.0|0|151.0|0|0.0|100
0|2021-11-09|6402.0|0|6402.0|0|151.0|0|0.0|100
0|2021-11-10|6402.0|0|6404.0|0|151.0|0|0.0|100
0|2021-11-11|6404.0|0|6404.0|0|151.0|0|0.0|100
