|dates|Perry_Ohio_UnitedStates.JHU_ConfirmedCases.data|Perry_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Perry_Ohio_UnitedStates.NYT_ConfirmedCases.data|Perry_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Perry_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Perry_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Perry_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Perry_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5121.0|0|5121.0|0|70.0|0|0.0|100
0|2021-10-18|5125.0|0|5125.0|0|70.0|0|0.0|100
0|2021-10-19|5135.0|0|5135.0|0|71.0|0|0.0|100
0|2021-10-20|5155.0|0|5155.0|0|71.0|0|0.0|100
0|2021-10-21|5165.0|0|5165.0|0|71.0|0|0.0|100
0|2021-10-22|5173.0|0|5173.0|0|72.0|0|0.0|100
0|2021-10-23|5183.0|0|5183.0|0|73.0|0|0.0|100
0|2021-10-24|5193.0|0|5193.0|0|73.0|0|0.0|100
0|2021-10-25|5198.0|0|5198.0|0|73.0|0|0.0|100
0|2021-10-26|5211.0|0|5211.0|0|73.0|0|0.0|100
0|2021-10-27|5220.0|0|5220.0|0|73.0|0|0.0|100
0|2021-10-28|5231.0|0|5231.0|0|73.0|0|0.0|100
0|2021-10-29|5245.0|0|5245.0|0|74.0|0|0.0|100
0|2021-10-30|5258.0|0|5258.0|0|74.0|0|0.0|100
0|2021-10-31|5267.0|0|5267.0|0|74.0|0|0.0|100
0|2021-11-01|5276.0|0|5276.0|0|74.0|0|0.0|100
0|2021-11-02|5287.0|0|5287.0|0|74.0|0|0.0|100
0|2021-11-03|5300.0|0|5300.0|0|74.0|0|0.0|100
0|2021-11-04|5313.0|0|5313.0|0|74.0|0|0.0|100
0|2021-11-05|5328.0|0|5328.0|0|74.0|0|0.0|100
0|2021-11-06|5336.0|0|5336.0|0|74.0|0|0.0|100
0|2021-11-07|5346.0|0|5346.0|0|74.0|0|0.0|100
0|2021-11-08|5350.0|0|5350.0|0|74.0|0|0.0|100
0|2021-11-09|5366.0|0|5366.0|0|75.0|0|0.0|100
0|2021-11-10|5383.0|0|5383.0|0|75.0|0|0.0|100
0|2021-11-11|5390.0|0|5390.0|0|75.0|0|0.0|100
0|2021-11-12|5394.0|0|5394.0|0|76.0|0|0.0|100
0|2021-11-13|5398.0|0|5398.0|0|76.0|0|0.0|100
0|2021-11-14|5400.0|0|5400.0|0|76.0|0|0.0|100
0|2021-11-15|5411.0|0|5411.0|0|76.0|0|0.0|100
0|2021-11-16|5416.0|0|5416.0|0|78.0|0|0.0|100
0|2021-11-17|5440.0|0|5440.0|0|78.0|0|0.0|100
0|2021-11-18|5456.0|0|5456.0|0|78.0|0|0.0|100
0|2021-11-19|5467.0|0|5467.0|0|79.0|0|0.0|100
0|2021-11-20|5486.0|0|5486.0|0|79.0|0|0.0|100
0|2021-11-21|5495.0|0|5495.0|0|79.0|0|0.0|100
0|2021-11-22|5502.0|0|5502.0|0|79.0|0|0.0|100
0|2021-11-23|5518.0|0|5518.0|0|79.0|0|0.0|100
0|2021-11-24|5536.0|0|5536.0|0|79.0|0|0.0|100
0|2021-11-25|5536.0|0|5536.0|0|79.0|0|0.0|100
0|2021-11-26|5557.0|0|5557.0|0|79.0|0|0.0|100
0|2021-11-27|5571.0|0|5571.0|0|79.0|0|0.0|100
0|2021-11-28|5584.0|0|5584.0|0|79.0|0|0.0|100
0|2021-11-29|5588.0|0|5588.0|0|79.0|0|0.0|100
0|2021-11-30|5611.0|0|5611.0|0|79.0|0|0.0|100
0|2021-12-01|5630.0|0|5630.0|0|79.0|0|0.0|100
0|2021-12-02|5649.0|0|5649.0|0|79.0|0|0.0|100
0|2021-12-03|5667.0|0|5667.0|0|79.0|0|0.0|100
0|2021-12-04|5684.0|0|5684.0|0|79.0|0|0.0|100
