|dates|Lipscomb_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lipscomb_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lipscomb_Texas_UnitedStates.Male_Total_Population.data|Lipscomb_Texas_UnitedStates.Male_Total_Population.missing|Lipscomb_Texas_UnitedStates.Female_Total_Population.data|Lipscomb_Texas_UnitedStates.Female_Total_Population.missing|Lipscomb_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Lipscomb_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-18|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-19|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-20|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-21|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-22|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-23|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-24|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-25|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-26|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-27|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-28|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-29|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-30|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-10-31|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-01|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-02|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-03|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-04|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-05|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-06|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-07|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-08|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-09|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-10|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-11|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-12|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-13|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-14|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-15|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-16|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-17|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-18|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-19|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-20|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-21|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-22|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-23|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-24|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-25|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-26|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-27|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-28|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-29|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-11-30|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-01|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-02|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-03|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-04|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-05|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-06|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-07|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-08|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-09|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-10|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-11|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-12|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-13|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-14|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-15|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-16|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-17|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-18|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-19|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-20|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-21|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-22|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-23|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-24|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-25|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-26|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-27|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-28|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-29|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-30|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2021-12-31|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-01|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-02|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-03|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-04|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-05|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-06|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-07|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-08|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-09|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-10|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-11|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-12|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-13|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-14|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-15|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-16|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2022-01-17|608.0|0|1734.0|0|1621.0|0|867.0|0
