|dates|Sandoval_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Sandoval_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Sandoval_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Sandoval_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Sandoval_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Sandoval_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Sandoval_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Sandoval_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15522.0|0|15522.0|0|269.0|0|0.0|100
0|2021-10-18|15640.0|0|15640.0|0|270.0|0|0.0|100
0|2021-10-19|15670.0|0|15670.0|0|270.0|0|0.0|100
0|2021-10-20|15729.0|0|15729.0|0|270.0|0|0.0|100
0|2021-10-21|15791.0|0|15791.0|0|270.0|0|0.0|100
0|2021-10-22|15862.0|0|15862.0|0|272.0|0|0.0|100
0|2021-10-23|15862.0|0|15862.0|0|272.0|0|0.0|100
0|2021-10-24|15862.0|0|15862.0|0|272.0|0|0.0|100
0|2021-10-25|16000.0|0|16000.0|0|273.0|0|0.0|100
0|2021-10-26|16040.0|0|16040.0|0|274.0|0|0.0|100
0|2021-10-27|16104.0|0|16104.0|0|274.0|0|0.0|100
0|2021-10-28|16140.0|0|16140.0|0|274.0|0|0.0|100
0|2021-10-29|16191.0|0|16191.0|0|274.0|0|0.0|100
0|2021-10-30|16191.0|0|16191.0|0|274.0|0|0.0|100
0|2021-10-31|16191.0|0|16191.0|0|274.0|0|0.0|100
0|2021-11-01|16333.0|0|16333.0|0|274.0|0|0.0|100
0|2021-11-02|16375.0|0|16375.0|0|275.0|0|0.0|100
0|2021-11-03|16427.0|0|16427.0|0|276.0|0|0.0|100
0|2021-11-04|16512.0|0|16512.0|0|276.0|0|0.0|100
0|2021-11-05|16591.0|0|16591.0|0|276.0|0|0.0|100
0|2021-11-06|16591.0|0|16591.0|0|276.0|0|0.0|100
0|2021-11-07|16591.0|0|16591.0|0|276.0|0|0.0|100
0|2021-11-08|16738.0|0|16738.0|0|276.0|0|0.0|100
0|2021-11-09|16809.0|0|16809.0|0|277.0|0|0.0|100
0|2021-11-10|16872.0|0|16872.0|0|278.0|0|0.0|100
0|2021-11-11|16872.0|0|16872.0|0|278.0|0|0.0|100
0|2021-11-12|17073.0|0|17073.0|0|280.0|0|0.0|100
0|2021-11-13|17073.0|0|17073.0|0|280.0|0|0.0|100
0|2021-11-14|17073.0|0|17073.0|0|280.0|0|0.0|100
0|2021-11-15|17302.0|0|17302.0|0|280.0|0|0.0|100
0|2021-11-16|17374.0|0|17374.0|0|280.0|0|0.0|100
0|2021-11-17|17492.0|0|17492.0|0|280.0|0|0.0|100
0|2021-11-18|17588.0|0|17588.0|0|282.0|0|0.0|100
0|2021-11-19|17710.0|0|17710.0|0|284.0|0|0.0|100
0|2021-11-20|17710.0|0|17710.0|0|284.0|0|0.0|100
0|2021-11-21|17710.0|0|17710.0|0|284.0|0|0.0|100
0|2021-11-22|17956.0|0|17956.0|0|285.0|0|0.0|100
0|2021-11-23|18169.0|0|18169.0|0|286.0|0|0.0|100
0|2021-11-24|18284.0|0|18284.0|0|286.0|0|0.0|100
0|2021-11-25|18284.0|0|18284.0|0|286.0|0|0.0|100
0|2021-11-26|18284.0|0|18284.0|0|286.0|0|0.0|100
