|dates|Comanche_Kansas_UnitedStates.BLS_EmployedPopulation.data|Comanche_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Comanche_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Comanche_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Comanche_Kansas_UnitedStates.BLS_UnemploymentRate.data|Comanche_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Comanche_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Comanche_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-18|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-19|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-20|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-21|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-22|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-23|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-24|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-25|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-26|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-27|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-28|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-29|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-30|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-10-31|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-01|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-02|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-03|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-04|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-05|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-06|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-07|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-08|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-09|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-10|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-11|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-12|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-13|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
0|2021-11-14|891.0|0|20.0|0|2.1953896816684964|0|911.0|0
