|dates|Foard_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Foard_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Foard_Texas_UnitedStates.Male_Total_Population.data|Foard_Texas_UnitedStates.Male_Total_Population.missing|Foard_Texas_UnitedStates.Female_Total_Population.data|Foard_Texas_UnitedStates.Female_Total_Population.missing|Foard_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Foard_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-18|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-19|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-20|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-21|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-22|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-23|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-24|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-25|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-26|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-27|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-28|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-29|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-30|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-10-31|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-01|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-02|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-03|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-04|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-05|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-06|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-07|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-08|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-09|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-10|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-11|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-12|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-13|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-14|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-15|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-16|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-17|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-18|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-19|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-20|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-21|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-22|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-23|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-24|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-25|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-26|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-27|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-28|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-29|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-11-30|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-01|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-02|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-03|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-04|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-05|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-06|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-07|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-08|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-09|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-10|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-11|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-12|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-13|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-14|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-15|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-16|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-17|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-18|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-19|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-20|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-21|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-22|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-23|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-24|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-25|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-26|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-27|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-28|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-29|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-30|316.0|0|583.0|0|617.0|0|247.0|0
0|2021-12-31|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-01|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-02|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-03|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-04|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-05|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-06|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-07|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-08|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-09|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-10|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-11|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-12|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-13|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-14|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-15|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-16|316.0|0|583.0|0|617.0|0|247.0|0
0|2022-01-17|316.0|0|583.0|0|617.0|0|247.0|0
