|dates|Starke_Indiana_UnitedStates.AveragePrecipitationTotal.data|Starke_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Starke_Indiana_UnitedStates.AveragePrecipitation.data|Starke_Indiana_UnitedStates.AveragePrecipitation.missing|Starke_Indiana_UnitedStates.AverageWindDirection.data|Starke_Indiana_UnitedStates.AverageWindDirection.missing|Starke_Indiana_UnitedStates.AverageWindSpeed.data|Starke_Indiana_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|225.72916666666666|0|5.927083333333333|0
0|2021-10-18|0.0|0|0.0|0|150.83333333333334|0|2.84375|0
0|2021-10-19|0.0|0|0.0|0|198.22916666666666|0|6.098958333333333|0
0|2021-10-20|0.0|0|0.0|0|185.20833333333334|0|7.614583333333333|0
0|2021-10-21|0.0|0|0.0|0|256.4583333333333|0|10.645833333333334|0
0|2021-10-22|0.0|0|0.0|0|83.33333333333333|0|2.125|0
0|2021-10-23|0.0|0|0.0|0|155.10416666666666|0|4.145833333333333|0
0|2021-10-24|0.0|0|0.0|0|63.541666666666664|0|8.46875|0
0|2021-10-25|0.0|0|0.0|0|93.75|0|13.135416666666666|0
0|2021-10-26|0.0|0|0.0|0|132.1875|0|6.739583333333333|0
0|2021-10-27|0.0|0|0.0|0|70.41666666666667|0|5.197916666666667|0
0|2021-10-28|0.0|0|0.0|0|107.70833333333333|0|10.21875|0
0|2021-10-29|0.0|0|0.0|0|116.25|0|8.541666666666666|0
0|2021-10-30|0.0|0|0.0|0|193.75|0|9.166666666666666|0
0|2021-10-31|0.0|0|0.0|0|279.4791666666667|0|8.75|0
0|2021-11-01|0.0|0|0.0|0|268.75|0|8.375|0
0|2021-11-02|0.0|0|0.0|0|262.8125|0|8.604166666666666|0
0|2021-11-03|0.0|0|0.0|0|162.60416666666666|0|3.5416666666666665|0
0|2021-11-04|0.0|0|0.0|0|138.64583333333334|0|2.5208333333333335|0
0|2021-11-05|0.0|0|0.0|0|111.14583333333333|0|4.364583333333333|0
0|2021-11-06|0.0|0|0.0|0|176.5625|0|6.677083333333333|0
0|2021-11-07|0.0|0|0.0|0|193.95833333333334|0|7.34375|0
0|2021-11-08|0.0|0|0.0|0|200.9375|0|8.09375|0
0|2021-11-09|0.0|0|0.0|0|73.33333333333333|0|2.6979166666666665|0
0|2021-11-10|0.0|0|0.0|0|84.27083333333333|0|7.760416666666667|0
0|2021-11-11|0.0|0|0.0|0|187.70833333333334|0|14.177083333333334|0
