|dates|Saginaw_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Saginaw_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Saginaw_Michigan_UnitedStates.Male_Total_Population.data|Saginaw_Michigan_UnitedStates.Male_Total_Population.missing|Saginaw_Michigan_UnitedStates.Female_Total_Population.data|Saginaw_Michigan_UnitedStates.Female_Total_Population.missing|Saginaw_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Saginaw_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-18|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-19|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-20|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-21|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-22|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-23|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-24|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-25|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-26|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-27|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-28|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-29|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-30|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-10-31|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-01|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-02|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-03|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-04|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-05|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-06|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-07|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-08|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-09|36783.0|0|92674.0|0|98126.0|0|40727.0|0
0|2021-11-10|36783.0|0|92674.0|0|98126.0|0|40727.0|0
