|dates|Rockingham_Virginia_UnitedStates.JHU_ConfirmedCases.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Rockingham_Virginia_UnitedStates.NYT_ConfirmedCases.data|Rockingham_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Rockingham_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Rockingham_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9147.0|0|9147.0|0|146.0|0|0.0|100
0|2021-10-18|9202.0|0|9202.0|0|147.0|0|0.0|100
0|2021-10-19|9221.0|0|9221.0|0|150.0|0|0.0|100
0|2021-10-20|9233.0|0|9233.0|0|150.0|0|0.0|100
0|2021-10-21|9265.0|0|9265.0|0|150.0|0|0.0|100
0|2021-10-22|9283.0|0|9283.0|0|150.0|0|0.0|100
0|2021-10-23|9283.0|0|9283.0|0|150.0|0|0.0|100
0|2021-10-24|9283.0|0|9283.0|0|150.0|0|0.0|100
0|2021-10-25|9339.0|0|9339.0|0|153.0|0|0.0|100
0|2021-10-26|9359.0|0|9359.0|0|153.0|0|0.0|100
0|2021-10-27|9385.0|0|9385.0|0|153.0|0|0.0|100
0|2021-10-28|9399.0|0|9399.0|0|153.0|0|0.0|100
0|2021-10-29|9418.0|0|9418.0|0|153.0|0|0.0|100
0|2021-10-30|9418.0|0|9418.0|0|153.0|0|0.0|100
0|2021-10-31|9418.0|0|9418.0|0|153.0|0|0.0|100
0|2021-11-01|9456.0|0|9456.0|0|157.0|0|0.0|100
0|2021-11-02|9462.0|0|9462.0|0|157.0|0|0.0|100
0|2021-11-03|9476.0|0|9476.0|0|157.0|0|0.0|100
0|2021-11-04|9488.0|0|9488.0|0|157.0|0|0.0|100
0|2021-11-05|9499.0|0|9499.0|0|158.0|0|0.0|100
0|2021-11-06|9499.0|0|9499.0|0|158.0|0|0.0|100
0|2021-11-07|9499.0|0|9499.0|0|158.0|0|0.0|100
0|2021-11-08|9524.0|0|9524.0|0|163.0|0|0.0|100
0|2021-11-09|9536.0|0|9536.0|0|163.0|0|0.0|100
0|2021-11-10|9554.0|0|9554.0|0|163.0|0|0.0|100
0|2021-11-11|9564.0|0|9564.0|0|163.0|0|0.0|100
0|2021-11-12|9582.0|0|9582.0|0|164.0|0|0.0|100
0|2021-11-13|9582.0|0|9582.0|0|164.0|0|0.0|100
0|2021-11-14|9582.0|0|9582.0|0|164.0|0|0.0|100
0|2021-11-15|9610.0|0|9610.0|0|164.0|0|0.0|100
0|2021-11-16|9617.0|0|9617.0|0|164.0|0|0.0|100
0|2021-11-17|9643.0|0|9643.0|0|164.0|0|0.0|100
