|dates|Pueblo_Colorado_UnitedStates.JHU_ConfirmedCases.data|Pueblo_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Pueblo_Colorado_UnitedStates.NYT_ConfirmedCases.data|Pueblo_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Pueblo_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Pueblo_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Pueblo_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Pueblo_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23954.0|0|23954.0|0|470.0|0|0.0|100
0|2021-10-18|24164.0|0|24164.0|0|474.0|0|0.0|100
0|2021-10-19|24262.0|0|24262.0|0|479.0|0|0.0|100
0|2021-10-20|24342.0|0|24342.0|0|480.0|0|0.0|100
0|2021-10-21|24532.0|0|24532.0|0|483.0|0|0.0|100
0|2021-10-22|24665.0|0|24665.0|0|483.0|0|0.0|100
0|2021-10-23|24665.0|0|24665.0|0|483.0|0|0.0|100
0|2021-10-24|24665.0|0|24665.0|0|483.0|0|0.0|100
0|2021-10-25|25025.0|0|25025.0|0|487.0|0|0.0|100
0|2021-10-26|25140.0|0|25140.0|0|487.0|0|0.0|100
0|2021-10-27|25324.0|0|25324.0|0|491.0|0|0.0|100
0|2021-10-28|25521.0|0|25521.0|0|494.0|0|0.0|100
0|2021-10-29|25691.0|0|25691.0|0|495.0|0|0.0|100
0|2021-10-30|25691.0|0|25691.0|0|495.0|0|0.0|100
0|2021-10-31|25691.0|0|25691.0|0|495.0|0|0.0|100
0|2021-11-01|26086.0|0|26086.0|0|500.0|0|0.0|100
0|2021-11-02|26175.0|0|26175.0|0|504.0|0|0.0|100
0|2021-11-03|26336.0|0|26336.0|0|504.0|0|0.0|100
0|2021-11-04|26555.0|0|26555.0|0|507.0|0|0.0|100
0|2021-11-05|26736.0|0|26736.0|0|512.0|0|0.0|100
0|2021-11-06|26736.0|0|26736.0|0|512.0|0|0.0|100
0|2021-11-07|26736.0|0|26736.0|0|512.0|0|0.0|100
0|2021-11-08|27084.0|0|27084.0|0|518.0|0|0.0|100
0|2021-11-09|27212.0|0|27212.0|0|519.0|0|0.0|100
0|2021-11-10|27434.0|0|27434.0|0|523.0|0|0.0|100
0|2021-11-11|27607.0|0|27607.0|0|525.0|0|0.0|100
0|2021-11-12|27743.0|0|27743.0|0|525.0|0|0.0|100
0|2021-11-13|27743.0|0|27743.0|0|525.0|0|0.0|100
0|2021-11-14|27743.0|0|27743.0|0|525.0|0|0.0|100
0|2021-11-15|28076.0|0|28076.0|0|535.0|0|0.0|100
0|2021-11-16|28175.0|0|28175.0|0|542.0|0|0.0|100
0|2021-11-17|28340.0|0|28340.0|0|545.0|0|0.0|100
0|2021-11-18|28484.0|0|28484.0|0|551.0|0|0.0|100
