|dates|Kingsbury_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Kingsbury_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Kingsbury_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Kingsbury_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Kingsbury_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Kingsbury_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Kingsbury_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Kingsbury_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-18|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-19|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-20|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-21|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-22|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-23|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-24|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-25|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-26|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-27|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-28|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-29|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-30|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-10-31|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-01|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-02|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-03|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-04|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-05|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-06|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-07|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-08|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-09|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-10|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-11|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-12|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-13|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-14|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-15|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-16|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-17|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-18|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-19|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-20|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-21|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-22|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-23|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-24|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-25|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-26|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-27|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-28|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-29|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
0|2021-11-30|2720.0|0|71.0|0|2.5438910784664994|0|2791.0|0
