|dates|Macon_Missouri_UnitedStates.JHU_ConfirmedCases.data|Macon_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Macon_Missouri_UnitedStates.NYT_ConfirmedCases.data|Macon_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Macon_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Macon_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Macon_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Macon_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2170.0|0|2170.0|0|20.0|0|0.0|100
0|2021-10-18|2171.0|0|2171.0|0|20.0|0|0.0|100
0|2021-10-19|2171.0|0|2171.0|0|20.0|0|0.0|100
0|2021-10-20|2175.0|0|2175.0|0|20.0|0|0.0|100
0|2021-10-21|2178.0|0|2178.0|0|20.0|0|0.0|100
0|2021-10-22|2180.0|0|2180.0|0|20.0|0|0.0|100
0|2021-10-23|2183.0|0|2183.0|0|20.0|0|0.0|100
0|2021-10-24|2184.0|0|2184.0|0|20.0|0|0.0|100
0|2021-10-25|2184.0|0|2184.0|0|20.0|0|0.0|100
0|2021-10-26|2184.0|0|2184.0|0|20.0|0|0.0|100
0|2021-10-27|2184.0|0|2184.0|0|20.0|0|0.0|100
0|2021-10-28|2189.0|0|2189.0|0|20.0|0|0.0|100
0|2021-10-29|2192.0|0|2192.0|0|20.0|0|0.0|100
0|2021-10-30|2196.0|0|2196.0|0|20.0|0|0.0|100
0|2021-10-31|2196.0|0|2196.0|0|20.0|0|0.0|100
0|2021-11-01|2196.0|0|2196.0|0|20.0|0|0.0|100
0|2021-11-02|2199.0|0|2199.0|0|19.0|0|0.0|100
0|2021-11-03|2201.0|0|2201.0|0|19.0|0|0.0|100
0|2021-11-04|2209.0|0|2209.0|0|19.0|0|0.0|100
0|2021-11-05|2212.0|0|2212.0|0|19.0|0|0.0|100
0|2021-11-06|2215.0|0|2215.0|0|19.0|0|0.0|100
0|2021-11-07|2216.0|0|2216.0|0|19.0|0|0.0|100
0|2021-11-08|2217.0|0|2217.0|0|19.0|0|0.0|100
0|2021-11-09|2216.0|0|2216.0|0|19.0|0|0.0|100
0|2021-11-10|2216.0|0|2228.0|0|19.0|0|0.0|100
0|2021-11-11|2228.0|0|2228.0|0|19.0|0|0.0|100
0|2021-11-12|2234.0|0|2234.0|0|19.0|0|0.0|100
0|2021-11-13|2242.0|0|2242.0|0|19.0|0|0.0|100
0|2021-11-14|2242.0|0|2242.0|0|19.0|0|0.0|100
0|2021-11-15|2242.0|0|2242.0|0|19.0|0|0.0|100
0|2021-11-16|2248.0|0|2248.0|0|19.0|0|0.0|100
0|2021-11-17|2256.0|0|2256.0|0|20.0|0|0.0|100
0|2021-11-18|2276.0|0|2276.0|0|20.0|0|0.0|100
0|2021-11-19|2281.0|0|2281.0|0|20.0|0|0.0|100
0|2021-11-20|2282.0|0|2282.0|0|20.0|0|0.0|100
0|2021-11-21|2282.0|0|2282.0|0|20.0|0|0.0|100
0|2021-11-22|2282.0|0|2282.0|0|20.0|0|0.0|100
0|2021-11-23|2287.0|0|2287.0|0|20.0|0|0.0|100
0|2021-11-24|2297.0|0|2297.0|0|20.0|0|0.0|100
0|2021-11-25|2297.0|0|2297.0|0|20.0|0|0.0|100
0|2021-11-26|2297.0|0|2297.0|0|20.0|0|0.0|100
0|2021-11-27|2297.0|0|2297.0|0|20.0|0|0.0|100
0|2021-11-28|2297.0|0|2297.0|0|20.0|0|0.0|100
0|2021-11-29|2322.0|0|2322.0|0|20.0|0|0.0|100
0|2021-11-30|2329.0|0|2329.0|0|20.0|0|0.0|100
0|2021-12-01|2359.0|0|2359.0|0|20.0|0|0.0|100
0|2021-12-02|2359.0|0|2374.0|0|20.0|0|0.0|100
0|2021-12-03|2374.0|0|2374.0|0|34.0|0|0.0|100
0|2021-12-04|2402.0|0|2402.0|0|34.0|0|0.0|100
0|2021-12-05|2427.0|0|2427.0|0|34.0|0|0.0|100
0|2021-12-06|2453.0|0|2453.0|0|34.0|0|0.0|100
0|2021-12-07|2456.0|0|2456.0|0|34.0|0|0.0|100
0|2021-12-08|2481.0|0|2481.0|0|34.0|0|0.0|100
0|2021-12-09|2495.0|0|2495.0|0|34.0|0|0.0|100
0|2021-12-10|2505.0|0|2505.0|0|34.0|0|0.0|100
0|2021-12-11|2513.0|0|2513.0|0|34.0|0|0.0|100
0|2021-12-12|2524.0|0|2524.0|0|34.0|0|0.0|100
0|2021-12-13|2525.0|0|2525.0|0|34.0|0|0.0|100
0|2021-12-14|2525.0|0|2526.0|0|34.0|0|0.0|100
0|2021-12-15|2538.0|0|2538.0|0|36.0|0|0.0|100
0|2021-12-16|2566.0|0|2566.0|0|36.0|0|0.0|100
0|2021-12-17|2574.0|0|2574.0|0|36.0|0|0.0|100
0|2021-12-18|2580.0|0|2580.0|0|36.0|0|0.0|100
0|2021-12-19|2580.0|0|2580.0|0|36.0|0|0.0|100
0|2021-12-20|2581.0|0|2581.0|0|36.0|0|0.0|100
0|2021-12-21|2592.0|0|2592.0|0|36.0|0|0.0|100
0|2021-12-22|2619.0|0|2619.0|0|36.0|0|0.0|100
0|2021-12-23|2625.0|0|2625.0|0|36.0|0|0.0|100
0|2021-12-24|2625.0|0|2625.0|0|36.0|0|0.0|100
0|2021-12-25|2625.0|0|2625.0|0|36.0|0|0.0|100
0|2021-12-26|2625.0|0|2625.0|0|36.0|0|0.0|100
0|2021-12-27|2638.0|0|2638.0|0|36.0|0|0.0|100
0|2021-12-28|2641.0|0|2641.0|0|37.0|0|0.0|100
0|2021-12-29|2658.0|0|2658.0|0|37.0|0|0.0|100
0|2021-12-30|2672.0|0|2672.0|0|37.0|0|0.0|100
0|2021-12-31|2672.0|0|2672.0|0|37.0|0|0.0|100
0|2022-01-01|2672.0|0|2672.0|0|37.0|0|0.0|100
0|2022-01-02|2672.0|0|2672.0|0|37.0|0|0.0|100
0|2022-01-03|2672.0|0|2691.0|0|37.0|0|0.0|100
0|2022-01-04|2702.0|0|2702.0|0|37.0|0|0.0|100
0|2022-01-05|2719.0|0|2719.0|0|37.0|0|0.0|100
0|2022-01-06|2739.0|0|2739.0|0|37.0|0|0.0|100
0|2022-01-07|2755.0|0|2755.0|0|37.0|0|0.0|100
0|2022-01-08|2804.0|0|2804.0|0|37.0|0|0.0|100
0|2022-01-09|2807.0|0|2807.0|0|37.0|0|0.0|100
0|2022-01-10|2808.0|0|2808.0|0|37.0|0|0.0|100
0|2022-01-11|2840.0|0|2840.0|0|39.0|0|0.0|100
0|2022-01-12|2855.0|0|2855.0|0|39.0|0|0.0|100
0|2022-01-13|2855.0|0|2890.0|0|39.0|0|0.0|100
0|2022-01-14|2903.0|0|2903.0|0|39.0|0|0.0|100
0|2022-01-15|2981.0|0|2981.0|0|39.0|0|0.0|100
0|2022-01-16|2981.0|0|2981.0|0|39.0|0|0.0|100
0|2022-01-17|2981.0|0|0.0|100|39.0|0|0.0|100
