|dates|OutofMI_Michigan_UnitedStates.JHU_ConfirmedCases.data|OutofMI_Michigan_UnitedStates.JHU_ConfirmedCases.missing|OutofMI_Michigan_UnitedStates.NYT_ConfirmedCases.data|OutofMI_Michigan_UnitedStates.NYT_ConfirmedCases.missing|OutofMI_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|OutofMI_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|OutofMI_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|OutofMI_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2303.0|0|0.0|100|21.0|0|0.0|100
0|2021-10-18|2316.0|0|0.0|100|21.0|0|0.0|100
0|2021-10-19|2316.0|0|0.0|100|21.0|0|0.0|100
0|2021-10-20|2339.0|0|0.0|100|22.0|0|0.0|100
0|2021-10-21|2339.0|0|0.0|100|22.0|0|0.0|100
0|2021-10-22|2353.0|0|0.0|100|23.0|0|0.0|100
0|2021-10-23|2353.0|0|0.0|100|23.0|0|0.0|100
0|2021-10-24|2353.0|0|0.0|100|23.0|0|0.0|100
0|2021-10-25|2368.0|0|0.0|100|24.0|0|0.0|100
0|2021-10-26|2368.0|0|0.0|100|24.0|0|0.0|100
0|2021-10-27|2381.0|0|0.0|100|24.0|0|0.0|100
0|2021-10-28|2381.0|0|0.0|100|24.0|0|0.0|100
0|2021-10-29|2390.0|0|0.0|100|24.0|0|0.0|100
0|2021-10-30|2390.0|0|0.0|100|24.0|0|0.0|100
0|2021-10-31|2390.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-01|2431.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-02|2431.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-03|2447.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-04|2447.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-05|2468.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-06|2468.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-07|2468.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-08|2472.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-09|2472.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-10|2472.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-11|2483.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-12|2516.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-13|2516.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-14|2516.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-15|2567.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-16|2567.0|0|0.0|100|24.0|0|0.0|100
0|2021-11-17|2584.0|0|0.0|100|25.0|0|0.0|100
0|2021-11-18|2584.0|0|0.0|100|25.0|0|0.0|100
0|2021-11-19|2609.0|0|0.0|100|27.0|0|0.0|100
0|2021-11-20|2609.0|0|0.0|100|27.0|0|0.0|100
