|dates|GrandTraverse_Michigan_UnitedStates.JHU_ConfirmedCases.data|GrandTraverse_Michigan_UnitedStates.JHU_ConfirmedCases.missing|GrandTraverse_Michigan_UnitedStates.NYT_ConfirmedCases.data|GrandTraverse_Michigan_UnitedStates.NYT_ConfirmedCases.missing|GrandTraverse_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|GrandTraverse_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|GrandTraverse_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|GrandTraverse_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8531.0|0|8531.0|0|117.0|0|0.0|100
0|2021-10-18|8616.0|0|8616.0|0|118.0|0|0.0|100
0|2021-10-19|8616.0|0|8616.0|0|118.0|0|0.0|100
0|2021-10-20|8693.0|0|8693.0|0|118.0|0|0.0|100
0|2021-10-21|8693.0|0|8693.0|0|118.0|0|0.0|100
0|2021-10-22|8770.0|0|8770.0|0|120.0|0|0.0|100
0|2021-10-23|8770.0|0|8770.0|0|120.0|0|0.0|100
0|2021-10-24|8770.0|0|8770.0|0|120.0|0|0.0|100
0|2021-10-25|8848.0|0|8848.0|0|120.0|0|0.0|100
0|2021-10-26|8848.0|0|8848.0|0|120.0|0|0.0|100
0|2021-10-27|8950.0|0|8950.0|0|117.0|0|0.0|100
0|2021-10-28|8950.0|0|8950.0|0|117.0|0|0.0|100
0|2021-10-29|9022.0|0|9022.0|0|118.0|0|0.0|100
0|2021-10-30|9022.0|0|9022.0|0|118.0|0|0.0|100
0|2021-10-31|9022.0|0|9022.0|0|118.0|0|0.0|100
0|2021-11-01|9123.0|0|9123.0|0|118.0|0|0.0|100
0|2021-11-02|9123.0|0|9123.0|0|118.0|0|0.0|100
0|2021-11-03|9217.0|0|9217.0|0|121.0|0|0.0|100
0|2021-11-04|9217.0|0|9217.0|0|121.0|0|0.0|100
0|2021-11-05|9338.0|0|9338.0|0|121.0|0|0.0|100
0|2021-11-06|9338.0|0|9338.0|0|121.0|0|0.0|100
