|dates|Lee_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lee_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lee_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Lee_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Lee_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15427.0|0|15427.0|0|234.0|0|0.0|100
0|2021-10-18|15450.0|0|15450.0|0|235.0|0|0.0|100
0|2021-10-19|15482.0|0|15482.0|0|235.0|0|0.0|100
0|2021-10-20|15501.0|0|15501.0|0|235.0|0|0.0|100
0|2021-10-21|15530.0|0|15530.0|0|235.0|0|0.0|100
0|2021-10-22|15543.0|0|15543.0|0|235.0|0|0.0|100
0|2021-10-23|15543.0|0|15543.0|0|235.0|0|0.0|100
0|2021-10-24|15543.0|0|15543.0|0|235.0|0|0.0|100
0|2021-10-25|15596.0|0|15596.0|0|235.0|0|0.0|100
0|2021-10-26|15657.0|0|15657.0|0|235.0|0|0.0|100
0|2021-10-27|15671.0|0|15671.0|0|235.0|0|0.0|100
0|2021-10-28|15689.0|0|15689.0|0|235.0|0|0.0|100
0|2021-10-29|15707.0|0|15707.0|0|235.0|0|0.0|100
0|2021-10-30|15707.0|0|15707.0|0|235.0|0|0.0|100
0|2021-10-31|15707.0|0|15707.0|0|235.0|0|0.0|100
0|2021-11-01|15733.0|0|15733.0|0|236.0|0|0.0|100
0|2021-11-02|15758.0|0|15758.0|0|236.0|0|0.0|100
0|2021-11-03|15777.0|0|15777.0|0|236.0|0|0.0|100
0|2021-11-04|15792.0|0|15792.0|0|236.0|0|0.0|100
0|2021-11-05|15814.0|0|15814.0|0|238.0|0|0.0|100
0|2021-11-06|15814.0|0|15814.0|0|238.0|0|0.0|100
