|dates|Boone_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Boone_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Boone_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Boone_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Boone_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Boone_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3416.0|0|3416.0|0|51.0|0|0.0|100
0|2021-10-18|3425.0|0|3425.0|0|51.0|0|0.0|100
0|2021-10-19|3441.0|0|3441.0|0|51.0|0|0.0|100
0|2021-10-20|3460.0|0|3460.0|0|52.0|0|0.0|100
0|2021-10-21|3481.0|0|3481.0|0|52.0|0|0.0|100
0|2021-10-22|3502.0|0|3502.0|0|52.0|0|0.0|100
0|2021-10-23|3516.0|0|3516.0|0|52.0|0|0.0|100
0|2021-10-24|3540.0|0|3540.0|0|52.0|0|0.0|100
0|2021-10-25|3551.0|0|3551.0|0|52.0|0|0.0|100
0|2021-10-26|3575.0|0|3575.0|0|52.0|0|0.0|100
0|2021-10-27|3599.0|0|3599.0|0|52.0|0|0.0|100
0|2021-10-28|3611.0|0|3611.0|0|56.0|0|0.0|100
0|2021-10-29|3628.0|0|3628.0|0|58.0|0|0.0|100
0|2021-10-30|3644.0|0|3644.0|0|58.0|0|0.0|100
0|2021-10-31|3653.0|0|3653.0|0|58.0|0|0.0|100
0|2021-11-01|3662.0|0|3662.0|0|58.0|0|0.0|100
0|2021-11-02|3675.0|0|3675.0|0|59.0|0|0.0|100
0|2021-11-03|3686.0|0|3686.0|0|59.0|0|0.0|100
0|2021-11-04|3695.0|0|3695.0|0|59.0|0|0.0|100
0|2021-11-05|3709.0|0|3709.0|0|59.0|0|0.0|100
0|2021-11-06|3724.0|0|3724.0|0|59.0|0|0.0|100
0|2021-11-07|3733.0|0|3733.0|0|59.0|0|0.0|100
0|2021-11-08|3742.0|0|3742.0|0|59.0|0|0.0|100
0|2021-11-09|3749.0|0|3749.0|0|59.0|0|0.0|100
0|2021-11-10|3749.0|0|3761.0|0|59.0|0|0.0|100
0|2021-11-11|3778.0|0|3778.0|0|60.0|0|0.0|100
0|2021-11-12|3799.0|0|3799.0|0|60.0|0|0.0|100
0|2021-11-13|3809.0|0|3809.0|0|60.0|0|0.0|100
0|2021-11-14|3815.0|0|3815.0|0|60.0|0|0.0|100
0|2021-11-15|3818.0|0|3818.0|0|61.0|0|0.0|100
0|2021-11-16|3827.0|0|3827.0|0|61.0|0|0.0|100
0|2021-11-17|3842.0|0|3842.0|0|60.0|0|0.0|100
0|2021-11-18|3859.0|0|3859.0|0|60.0|0|0.0|100
0|2021-11-19|3875.0|0|3875.0|0|60.0|0|0.0|100
0|2021-11-20|3893.0|0|3893.0|0|60.0|0|0.0|100
0|2021-11-21|3902.0|0|3902.0|0|60.0|0|0.0|100
0|2021-11-22|3916.0|0|3916.0|0|61.0|0|0.0|100
0|2021-11-23|3911.0|0|3911.0|0|60.0|0|0.0|100
0|2021-11-24|3922.0|0|3922.0|0|61.0|0|0.0|100
0|2021-11-25|3922.0|0|3922.0|0|61.0|0|0.0|100
0|2021-11-26|3922.0|0|3922.0|0|61.0|0|0.0|100
0|2021-11-27|3922.0|0|3922.0|0|61.0|0|0.0|100
0|2021-11-28|3922.0|0|3922.0|0|61.0|0|0.0|100
0|2021-11-29|3958.0|0|3958.0|0|60.0|0|0.0|100
0|2021-11-30|3973.0|0|3973.0|0|62.0|0|0.0|100
0|2021-12-01|3980.0|0|3980.0|0|62.0|0|0.0|100
0|2021-12-02|3988.0|0|3988.0|0|62.0|0|0.0|100
0|2021-12-03|4000.0|0|4000.0|0|62.0|0|0.0|100
0|2021-12-04|4010.0|0|4010.0|0|62.0|0|0.0|100
0|2021-12-05|4010.0|0|4017.0|0|62.0|0|0.0|100
0|2021-12-06|4023.0|0|4023.0|0|62.0|0|0.0|100
0|2021-12-07|4031.0|0|4031.0|0|62.0|0|0.0|100
0|2021-12-08|4051.0|0|4051.0|0|62.0|0|0.0|100
0|2021-12-09|4060.0|0|4060.0|0|62.0|0|0.0|100
0|2021-12-10|4073.0|0|4073.0|0|62.0|0|0.0|100
0|2021-12-11|4083.0|0|4083.0|0|62.0|0|0.0|100
0|2021-12-12|4097.0|0|4097.0|0|62.0|0|0.0|100
0|2021-12-13|4100.0|0|4100.0|0|62.0|0|0.0|100
0|2021-12-14|4100.0|0|4106.0|0|62.0|0|0.0|100
0|2021-12-15|4118.0|0|4118.0|0|62.0|0|0.0|100
0|2021-12-16|4136.0|0|4136.0|0|62.0|0|0.0|100
0|2021-12-17|4151.0|0|4151.0|0|62.0|0|0.0|100
0|2021-12-18|4161.0|0|4161.0|0|62.0|0|0.0|100
0|2021-12-19|4170.0|0|4170.0|0|62.0|0|0.0|100
0|2021-12-20|4177.0|0|4177.0|0|62.0|0|0.0|100
0|2021-12-21|4187.0|0|4187.0|0|62.0|0|0.0|100
0|2021-12-22|4204.0|0|4204.0|0|62.0|0|0.0|100
0|2021-12-23|4215.0|0|4215.0|0|62.0|0|0.0|100
0|2021-12-24|4215.0|0|4215.0|0|62.0|0|0.0|100
0|2021-12-25|4215.0|0|4215.0|0|62.0|0|0.0|100
0|2021-12-26|4215.0|0|4215.0|0|62.0|0|0.0|100
0|2021-12-27|4252.0|0|4252.0|0|62.0|0|0.0|100
0|2021-12-28|4263.0|0|4263.0|0|62.0|0|0.0|100
0|2021-12-29|4274.0|0|4274.0|0|62.0|0|0.0|100
0|2021-12-30|4291.0|0|4291.0|0|62.0|0|0.0|100
0|2021-12-31|4291.0|0|4291.0|0|62.0|0|0.0|100
0|2022-01-01|4291.0|0|4291.0|0|62.0|0|0.0|100
0|2022-01-02|4291.0|0|4291.0|0|62.0|0|0.0|100
0|2022-01-03|4374.0|0|4374.0|0|62.0|0|0.0|100
0|2022-01-04|4399.0|0|4399.0|0|62.0|0|0.0|100
0|2022-01-05|4421.0|0|4421.0|0|62.0|0|0.0|100
0|2022-01-06|4464.0|0|4464.0|0|62.0|0|0.0|100
0|2022-01-07|4511.0|0|4511.0|0|62.0|0|0.0|100
0|2022-01-08|4538.0|0|4538.0|0|62.0|0|0.0|100
0|2022-01-09|4570.0|0|4570.0|0|62.0|0|0.0|100
0|2022-01-10|4584.0|0|4584.0|0|62.0|0|0.0|100
0|2022-01-11|4616.0|0|4616.0|0|62.0|0|0.0|100
0|2022-01-12|4657.0|0|4657.0|0|62.0|0|0.0|100
0|2022-01-13|4657.0|0|4728.0|0|62.0|0|0.0|100
0|2022-01-14|4779.0|0|4779.0|0|62.0|0|0.0|100
0|2022-01-15|4779.0|0|4848.0|0|62.0|0|0.0|100
0|2022-01-16|4911.0|0|4911.0|0|62.0|0|0.0|100
0|2022-01-17|4958.0|0|0.0|100|62.0|0|0.0|100
