|dates|Coffey_Kansas_UnitedStates.JHU_ConfirmedCases.data|Coffey_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Coffey_Kansas_UnitedStates.NYT_ConfirmedCases.data|Coffey_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Coffey_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Coffey_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Coffey_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Coffey_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1154.0|0|1154.0|0|26.0|0|0.0|100
0|2021-10-18|1160.0|0|1160.0|0|26.0|0|0.0|100
0|2021-10-19|1160.0|0|1160.0|0|26.0|0|0.0|100
0|2021-10-20|1166.0|0|1166.0|0|26.0|0|0.0|100
0|2021-10-21|1166.0|0|1166.0|0|26.0|0|0.0|100
0|2021-10-22|1171.0|0|1171.0|0|26.0|0|0.0|100
0|2021-10-23|1171.0|0|1171.0|0|26.0|0|0.0|100
0|2021-10-24|1171.0|0|1171.0|0|26.0|0|0.0|100
0|2021-10-25|1172.0|0|1172.0|0|26.0|0|0.0|100
0|2021-10-26|1172.0|0|1172.0|0|26.0|0|0.0|100
0|2021-10-27|1193.0|0|1193.0|0|27.0|0|0.0|100
0|2021-10-28|1193.0|0|1193.0|0|27.0|0|0.0|100
0|2021-10-29|1203.0|0|1203.0|0|27.0|0|0.0|100
0|2021-10-30|1203.0|0|1203.0|0|27.0|0|0.0|100
0|2021-10-31|1203.0|0|1203.0|0|27.0|0|0.0|100
0|2021-11-01|1216.0|0|1216.0|0|27.0|0|0.0|100
0|2021-11-02|1216.0|0|1216.0|0|27.0|0|0.0|100
0|2021-11-03|1229.0|0|1229.0|0|27.0|0|0.0|100
0|2021-11-04|1229.0|0|1229.0|0|27.0|0|0.0|100
0|2021-11-05|1236.0|0|1236.0|0|28.0|0|0.0|100
0|2021-11-06|1236.0|0|1236.0|0|28.0|0|0.0|100
0|2021-11-07|1236.0|0|1236.0|0|28.0|0|0.0|100
0|2021-11-08|1244.0|0|1244.0|0|28.0|0|0.0|100
0|2021-11-09|1244.0|0|1244.0|0|28.0|0|0.0|100
0|2021-11-10|1244.0|0|1267.0|0|28.0|0|0.0|100
0|2021-11-11|1267.0|0|1267.0|0|28.0|0|0.0|100
0|2021-11-12|1278.0|0|1278.0|0|28.0|0|0.0|100
0|2021-11-13|1278.0|0|1278.0|0|28.0|0|0.0|100
