|dates|Effingham_Georgia_UnitedStates.JHU_ConfirmedCases.data|Effingham_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Effingham_Georgia_UnitedStates.NYT_ConfirmedCases.data|Effingham_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Effingham_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Effingham_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Effingham_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Effingham_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8728.0|0|8817.0|0|155.0|0|0.0|100
0|2021-10-18|8739.0|0|8820.0|0|157.0|0|0.0|100
0|2021-10-19|8747.0|0|8828.0|0|158.0|0|0.0|100
0|2021-10-20|8752.0|0|8833.0|0|159.0|0|0.0|100
0|2021-10-21|8763.0|0|8844.0|0|160.0|0|0.0|100
0|2021-10-22|8764.0|0|8845.0|0|162.0|0|0.0|100
0|2021-10-23|8764.0|0|8845.0|0|162.0|0|0.0|100
0|2021-10-24|8764.0|0|8845.0|0|162.0|0|0.0|100
0|2021-10-25|8774.0|0|8816.0|0|162.0|0|0.0|100
0|2021-10-26|8776.0|0|8818.0|0|162.0|0|0.0|100
0|2021-10-27|8779.0|0|8821.0|0|163.0|0|0.0|100
0|2021-10-28|8789.0|0|8831.0|0|164.0|0|0.0|100
0|2021-10-29|8794.0|0|8836.0|0|165.0|0|0.0|100
0|2021-10-30|8794.0|0|8836.0|0|165.0|0|0.0|100
0|2021-10-31|8794.0|0|8836.0|0|165.0|0|0.0|100
0|2021-11-01|8810.0|0|8853.0|0|165.0|0|0.0|100
0|2021-11-02|8822.0|0|8865.0|0|166.0|0|0.0|100
0|2021-11-03|8830.0|0|8873.0|0|166.0|0|0.0|100
0|2021-11-04|8835.0|0|8878.0|0|167.0|0|0.0|100
0|2021-11-05|8838.0|0|8881.0|0|167.0|0|0.0|100
0|2021-11-06|8838.0|0|8881.0|0|167.0|0|0.0|100
0|2021-11-07|8838.0|0|8881.0|0|167.0|0|0.0|100
0|2021-11-08|8838.0|0|8882.0|0|167.0|0|0.0|100
0|2021-11-09|8853.0|0|8897.0|0|170.0|0|0.0|100
0|2021-11-10|8853.0|0|8900.0|0|170.0|0|0.0|100
0|2021-11-11|8856.0|0|8900.0|0|170.0|0|0.0|100
0|2021-11-12|8868.0|0|8912.0|0|171.0|0|0.0|100
0|2021-11-13|8868.0|0|8912.0|0|171.0|0|0.0|100
0|2021-11-14|8868.0|0|8912.0|0|171.0|0|0.0|100
0|2021-11-15|8877.0|0|8923.0|0|171.0|0|0.0|100
0|2021-11-16|8885.0|0|8931.0|0|171.0|0|0.0|100
0|2021-11-17|8893.0|0|8939.0|0|172.0|0|0.0|100
0|2021-11-18|8899.0|0|8945.0|0|174.0|0|0.0|100
0|2021-11-19|8903.0|0|8949.0|0|174.0|0|0.0|100
0|2021-11-20|8903.0|0|8949.0|0|174.0|0|0.0|100
0|2021-11-21|8903.0|0|8949.0|0|174.0|0|0.0|100
0|2021-11-22|8913.0|0|8962.0|0|174.0|0|0.0|100
0|2021-11-23|8914.0|0|8963.0|0|174.0|0|0.0|100
0|2021-11-24|8922.0|0|8971.0|0|175.0|0|0.0|100
0|2021-11-25|8922.0|0|8971.0|0|175.0|0|0.0|100
0|2021-11-26|8922.0|0|8971.0|0|175.0|0|0.0|100
0|2021-11-27|8922.0|0|8971.0|0|175.0|0|0.0|100
0|2021-11-28|8922.0|0|8971.0|0|175.0|0|0.0|100
0|2021-11-29|8943.0|0|8992.0|0|175.0|0|0.0|100
0|2021-11-30|8946.0|0|8985.0|0|175.0|0|0.0|100
0|2021-12-01|8970.0|0|9009.0|0|175.0|0|0.0|100
0|2021-12-02|8970.0|0|9012.0|0|175.0|0|0.0|100
0|2021-12-03|8979.0|0|9018.0|0|175.0|0|0.0|100
0|2021-12-04|8979.0|0|9018.0|0|175.0|0|0.0|100
0|2021-12-05|8979.0|0|9018.0|0|175.0|0|0.0|100
0|2021-12-06|8991.0|0|9033.0|0|175.0|0|0.0|100
0|2021-12-07|8997.0|0|9039.0|0|175.0|0|0.0|100
0|2021-12-08|9000.0|0|9042.0|0|175.0|0|0.0|100
0|2021-12-09|9002.0|0|9044.0|0|175.0|0|0.0|100
0|2021-12-10|9006.0|0|9048.0|0|175.0|0|0.0|100
