|dates|Curry_Oregon_UnitedStates.JHU_ConfirmedCases.data|Curry_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Curry_Oregon_UnitedStates.NYT_ConfirmedCases.data|Curry_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Curry_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Curry_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Curry_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Curry_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1781.0|0|1781.0|0|22.0|0|0.0|100
0|2021-10-18|1787.0|0|1787.0|0|23.0|0|0.0|100
0|2021-10-19|1794.0|0|1794.0|0|25.0|0|0.0|100
0|2021-10-20|1798.0|0|1798.0|0|25.0|0|0.0|100
0|2021-10-21|1800.0|0|1800.0|0|25.0|0|0.0|100
0|2021-10-22|1806.0|0|1806.0|0|25.0|0|0.0|100
0|2021-10-23|1806.0|0|1806.0|0|25.0|0|0.0|100
0|2021-10-24|1806.0|0|1806.0|0|25.0|0|0.0|100
0|2021-10-25|1813.0|0|1813.0|0|25.0|0|0.0|100
0|2021-10-26|1827.0|0|1827.0|0|25.0|0|0.0|100
0|2021-10-27|1829.0|0|1829.0|0|25.0|0|0.0|100
0|2021-10-28|1833.0|0|1833.0|0|25.0|0|0.0|100
0|2021-10-29|1834.0|0|1834.0|0|25.0|0|0.0|100
0|2021-10-30|1834.0|0|1834.0|0|25.0|0|0.0|100
0|2021-10-31|1834.0|0|1834.0|0|25.0|0|0.0|100
0|2021-11-01|1835.0|0|1835.0|0|25.0|0|0.0|100
0|2021-11-02|1836.0|0|1836.0|0|25.0|0|0.0|100
0|2021-11-03|1841.0|0|1841.0|0|25.0|0|0.0|100
0|2021-11-04|1844.0|0|1844.0|0|27.0|0|0.0|100
0|2021-11-05|1846.0|0|1846.0|0|27.0|0|0.0|100
0|2021-11-06|1846.0|0|1846.0|0|27.0|0|0.0|100
0|2021-11-07|1846.0|0|1846.0|0|27.0|0|0.0|100
0|2021-11-08|1846.0|0|1846.0|0|31.0|0|0.0|100
0|2021-11-09|1849.0|0|1849.0|0|31.0|0|0.0|100
0|2021-11-10|1857.0|0|1857.0|0|32.0|0|0.0|100
0|2021-11-11|1857.0|0|1857.0|0|32.0|0|0.0|100
