|dates|Anderson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Anderson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Anderson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Anderson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Anderson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Anderson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Anderson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Anderson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3292.0|0|3292.0|0|40.0|0|0.0|100
0|2021-10-18|3323.0|0|3323.0|0|40.0|0|0.0|100
0|2021-10-19|3347.0|0|3347.0|0|40.0|0|0.0|100
0|2021-10-20|3387.0|0|3387.0|0|40.0|0|0.0|100
0|2021-10-21|3413.0|0|3413.0|0|41.0|0|0.0|100
0|2021-10-22|3421.0|0|3421.0|0|41.0|0|0.0|100
0|2021-10-23|3421.0|0|3421.0|0|41.0|0|0.0|100
0|2021-10-24|3421.0|0|3421.0|0|41.0|0|0.0|100
0|2021-10-25|3439.0|0|3439.0|0|44.0|0|0.0|100
0|2021-10-26|3446.0|0|3446.0|0|44.0|0|0.0|100
0|2021-10-27|3455.0|0|3455.0|0|44.0|0|0.0|100
0|2021-10-28|3489.0|0|3489.0|0|44.0|0|0.0|100
0|2021-10-29|3518.0|0|3518.0|0|44.0|0|0.0|100
0|2021-10-30|3518.0|0|3518.0|0|44.0|0|0.0|100
0|2021-10-31|3518.0|0|3518.0|0|44.0|0|0.0|100
0|2021-11-01|3537.0|0|3537.0|0|47.0|0|0.0|100
0|2021-11-02|3556.0|0|3556.0|0|48.0|0|0.0|100
0|2021-11-03|3571.0|0|3571.0|0|48.0|0|0.0|100
0|2021-11-04|3575.0|0|3575.0|0|48.0|0|0.0|100
0|2021-11-05|3584.0|0|3584.0|0|48.0|0|0.0|100
0|2021-11-06|3584.0|0|3584.0|0|48.0|0|0.0|100
0|2021-11-07|3584.0|0|3584.0|0|48.0|0|0.0|100
0|2021-11-08|3605.0|0|3605.0|0|48.0|0|0.0|100
0|2021-11-09|3611.0|0|3611.0|0|48.0|0|0.0|100
0|2021-11-10|3611.0|0|3622.0|0|48.0|0|0.0|100
0|2021-11-11|3622.0|0|3622.0|0|48.0|0|0.0|100
0|2021-11-12|3638.0|0|3638.0|0|48.0|0|0.0|100
0|2021-11-13|3638.0|0|3638.0|0|48.0|0|0.0|100
0|2021-11-14|3638.0|0|3638.0|0|48.0|0|0.0|100
0|2021-11-15|3644.0|0|3644.0|0|49.0|0|0.0|100
0|2021-11-16|3653.0|0|3653.0|0|49.0|0|0.0|100
0|2021-11-17|3669.0|0|3669.0|0|50.0|0|0.0|100
0|2021-11-18|3681.0|0|3681.0|0|50.0|0|0.0|100
0|2021-11-19|3687.0|0|3687.0|0|51.0|0|0.0|100
0|2021-11-20|3687.0|0|3687.0|0|51.0|0|0.0|100
0|2021-11-21|3687.0|0|3687.0|0|51.0|0|0.0|100
0|2021-11-22|3709.0|0|3709.0|0|52.0|0|0.0|100
0|2021-11-23|3719.0|0|3719.0|0|52.0|0|0.0|100
0|2021-11-24|3737.0|0|3737.0|0|52.0|0|0.0|100
0|2021-11-25|3737.0|0|3737.0|0|52.0|0|0.0|100
0|2021-11-26|3737.0|0|3737.0|0|52.0|0|0.0|100
0|2021-11-27|3737.0|0|3737.0|0|52.0|0|0.0|100
0|2021-11-28|3737.0|0|3737.0|0|52.0|0|0.0|100
0|2021-11-29|3763.0|0|3763.0|0|52.0|0|0.0|100
0|2021-11-30|3772.0|0|3772.0|0|52.0|0|0.0|100
0|2021-12-01|3803.0|0|3803.0|0|52.0|0|0.0|100
0|2021-12-02|3803.0|0|3826.0|0|52.0|0|0.0|100
0|2021-12-03|3835.0|0|3835.0|0|52.0|0|0.0|100
0|2021-12-04|3835.0|0|3835.0|0|52.0|0|0.0|100
