|dates|Franklin_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Franklin_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Franklin_Ohio_UnitedStates.Male_Total_Population.data|Franklin_Ohio_UnitedStates.Male_Total_Population.missing|Franklin_Ohio_UnitedStates.Female_Total_Population.data|Franklin_Ohio_UnitedStates.Female_Total_Population.missing|Franklin_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Franklin_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-18|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-19|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-20|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-21|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-22|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-23|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-24|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-25|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-26|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-27|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-28|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-29|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-30|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-10-31|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-01|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-02|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-03|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-04|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-05|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-06|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-07|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-08|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-09|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-10|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-11|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-12|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-13|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-14|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-15|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-16|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-17|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-18|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-19|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-20|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-21|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-22|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-23|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-24|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-25|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-26|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-27|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-28|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-29|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-11-30|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-01|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-02|157391.0|0|640086.0|0|670214.0|0|304643.0|0
