|dates|Cloud_Kansas_UnitedStates.JHU_ConfirmedCases.data|Cloud_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Cloud_Kansas_UnitedStates.NYT_ConfirmedCases.data|Cloud_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Cloud_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Cloud_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Cloud_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Cloud_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1280.0|0|1280.0|0|27.0|0|0.0|100
0|2021-10-18|1286.0|0|1286.0|0|27.0|0|0.0|100
0|2021-10-19|1286.0|0|1286.0|0|27.0|0|0.0|100
0|2021-10-20|1302.0|0|1302.0|0|27.0|0|0.0|100
0|2021-10-21|1302.0|0|1302.0|0|27.0|0|0.0|100
0|2021-10-22|1325.0|0|1325.0|0|28.0|0|0.0|100
0|2021-10-23|1325.0|0|1325.0|0|28.0|0|0.0|100
0|2021-10-24|1325.0|0|1325.0|0|28.0|0|0.0|100
0|2021-10-25|1338.0|0|1338.0|0|28.0|0|0.0|100
0|2021-10-26|1338.0|0|1338.0|0|28.0|0|0.0|100
0|2021-10-27|1370.0|0|1370.0|0|29.0|0|0.0|100
0|2021-10-28|1370.0|0|1370.0|0|29.0|0|0.0|100
0|2021-10-29|1390.0|0|1390.0|0|29.0|0|0.0|100
0|2021-10-30|1390.0|0|1390.0|0|29.0|0|0.0|100
0|2021-10-31|1390.0|0|1390.0|0|29.0|0|0.0|100
0|2021-11-01|1394.0|0|1394.0|0|29.0|0|0.0|100
0|2021-11-02|1394.0|0|1394.0|0|29.0|0|0.0|100
0|2021-11-03|1420.0|0|1420.0|0|30.0|0|0.0|100
0|2021-11-04|1420.0|0|1420.0|0|30.0|0|0.0|100
0|2021-11-05|1438.0|0|1438.0|0|32.0|0|0.0|100
0|2021-11-06|1438.0|0|1438.0|0|32.0|0|0.0|100
0|2021-11-07|1438.0|0|1438.0|0|32.0|0|0.0|100
0|2021-11-08|1453.0|0|1453.0|0|32.0|0|0.0|100
0|2021-11-09|1453.0|0|1453.0|0|32.0|0|0.0|100
0|2021-11-10|1453.0|0|1485.0|0|32.0|0|0.0|100
0|2021-11-11|1485.0|0|1485.0|0|32.0|0|0.0|100
0|2021-11-12|1501.0|0|1501.0|0|32.0|0|0.0|100
0|2021-11-13|1501.0|0|1501.0|0|32.0|0|0.0|100
0|2021-11-14|1501.0|0|1501.0|0|32.0|0|0.0|100
0|2021-11-15|1516.0|0|1516.0|0|30.0|0|0.0|100
0|2021-11-16|1516.0|0|1516.0|0|30.0|0|0.0|100
0|2021-11-17|1539.0|0|1539.0|0|30.0|0|0.0|100
0|2021-11-18|1539.0|0|1539.0|0|30.0|0|0.0|100
0|2021-11-19|1548.0|0|1548.0|0|30.0|0|0.0|100
0|2021-11-20|1548.0|0|1548.0|0|30.0|0|0.0|100
0|2021-11-21|1548.0|0|1548.0|0|30.0|0|0.0|100
0|2021-11-22|1564.0|0|1564.0|0|30.0|0|0.0|100
0|2021-11-23|1564.0|0|1564.0|0|30.0|0|0.0|100
0|2021-11-24|1564.0|0|1598.0|0|30.0|0|0.0|100
0|2021-11-25|1598.0|0|1598.0|0|30.0|0|0.0|100
0|2021-11-26|1598.0|0|1598.0|0|30.0|0|0.0|100
0|2021-11-27|1598.0|0|1598.0|0|30.0|0|0.0|100
0|2021-11-28|1598.0|0|1598.0|0|30.0|0|0.0|100
0|2021-11-29|1620.0|0|1620.0|0|30.0|0|0.0|100
0|2021-11-30|1620.0|0|1620.0|0|30.0|0|0.0|100
0|2021-12-01|1663.0|0|1663.0|0|30.0|0|0.0|100
0|2021-12-02|1663.0|0|1663.0|0|30.0|0|0.0|100
0|2021-12-03|1663.0|0|1696.0|0|30.0|0|0.0|100
0|2021-12-04|1696.0|0|1696.0|0|30.0|0|0.0|100
0|2021-12-05|1696.0|0|1696.0|0|30.0|0|0.0|100
0|2021-12-06|1714.0|0|1714.0|0|30.0|0|0.0|100
0|2021-12-07|1714.0|0|1714.0|0|30.0|0|0.0|100
0|2021-12-08|1726.0|0|1726.0|0|30.0|0|0.0|100
0|2021-12-09|1726.0|0|1726.0|0|30.0|0|0.0|100
0|2021-12-10|1738.0|0|1738.0|0|30.0|0|0.0|100
0|2021-12-11|1738.0|0|1738.0|0|30.0|0|0.0|100
0|2021-12-12|1738.0|0|1738.0|0|30.0|0|0.0|100
0|2021-12-13|1750.0|0|1750.0|0|30.0|0|0.0|100
0|2021-12-14|1750.0|0|1750.0|0|30.0|0|0.0|100
0|2021-12-15|1764.0|0|1764.0|0|30.0|0|0.0|100
0|2021-12-16|1764.0|0|1764.0|0|30.0|0|0.0|100
0|2021-12-17|1783.0|0|1783.0|0|30.0|0|0.0|100
0|2021-12-18|1783.0|0|1783.0|0|30.0|0|0.0|100
0|2021-12-19|1783.0|0|1783.0|0|30.0|0|0.0|100
0|2021-12-20|1786.0|0|1786.0|0|30.0|0|0.0|100
0|2021-12-21|1786.0|0|1786.0|0|30.0|0|0.0|100
0|2021-12-22|1795.0|0|1795.0|0|30.0|0|0.0|100
0|2021-12-23|1795.0|0|1795.0|0|30.0|0|0.0|100
0|2021-12-24|1795.0|0|1795.0|0|30.0|0|0.0|100
0|2021-12-25|1795.0|0|1795.0|0|30.0|0|0.0|100
