|dates|Miami_Kansas_UnitedStates.JHU_ConfirmedCases.data|Miami_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Miami_Kansas_UnitedStates.NYT_ConfirmedCases.data|Miami_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Miami_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Miami_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Miami_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Miami_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4262.0|0|4262.0|0|59.0|0|0.0|100
0|2021-10-18|4275.0|0|4275.0|0|59.0|0|0.0|100
0|2021-10-19|4275.0|0|4275.0|0|59.0|0|0.0|100
0|2021-10-20|4291.0|0|4291.0|0|59.0|0|0.0|100
0|2021-10-21|4291.0|0|4291.0|0|59.0|0|0.0|100
0|2021-10-22|4316.0|0|4316.0|0|59.0|0|0.0|100
0|2021-10-23|4316.0|0|4316.0|0|59.0|0|0.0|100
0|2021-10-24|4316.0|0|4316.0|0|59.0|0|0.0|100
0|2021-10-25|4331.0|0|4331.0|0|59.0|0|0.0|100
0|2021-10-26|4331.0|0|4331.0|0|59.0|0|0.0|100
0|2021-10-27|4353.0|0|4353.0|0|61.0|0|0.0|100
0|2021-10-28|4353.0|0|4353.0|0|61.0|0|0.0|100
0|2021-10-29|4369.0|0|4369.0|0|64.0|0|0.0|100
0|2021-10-30|4369.0|0|4369.0|0|64.0|0|0.0|100
0|2021-10-31|4369.0|0|4369.0|0|64.0|0|0.0|100
0|2021-11-01|4379.0|0|4379.0|0|64.0|0|0.0|100
0|2021-11-02|4379.0|0|4379.0|0|64.0|0|0.0|100
0|2021-11-03|4399.0|0|4399.0|0|64.0|0|0.0|100
0|2021-11-04|4399.0|0|4399.0|0|64.0|0|0.0|100
0|2021-11-05|4407.0|0|4407.0|0|64.0|0|0.0|100
0|2021-11-06|4407.0|0|4407.0|0|64.0|0|0.0|100
0|2021-11-07|4407.0|0|4407.0|0|64.0|0|0.0|100
0|2021-11-08|4418.0|0|4418.0|0|64.0|0|0.0|100
0|2021-11-09|4418.0|0|4418.0|0|64.0|0|0.0|100
0|2021-11-10|4447.0|0|4447.0|0|67.0|0|0.0|100
0|2021-11-11|4447.0|0|4447.0|0|67.0|0|0.0|100
0|2021-11-12|4467.0|0|4467.0|0|67.0|0|0.0|100
0|2021-11-13|4467.0|0|4467.0|0|67.0|0|0.0|100
0|2021-11-14|4467.0|0|4467.0|0|67.0|0|0.0|100
0|2021-11-15|4486.0|0|4486.0|0|67.0|0|0.0|100
0|2021-11-16|4486.0|0|4486.0|0|67.0|0|0.0|100
0|2021-11-17|4509.0|0|4509.0|0|68.0|0|0.0|100
0|2021-11-18|4509.0|0|4509.0|0|68.0|0|0.0|100
0|2021-11-19|4529.0|0|4529.0|0|68.0|0|0.0|100
0|2021-11-20|4529.0|0|4529.0|0|68.0|0|0.0|100
0|2021-11-21|4529.0|0|4529.0|0|68.0|0|0.0|100
0|2021-11-22|4554.0|0|4554.0|0|68.0|0|0.0|100
0|2021-11-23|4554.0|0|4554.0|0|68.0|0|0.0|100
0|2021-11-24|4554.0|0|4601.0|0|68.0|0|0.0|100
0|2021-11-25|4601.0|0|4601.0|0|69.0|0|0.0|100
