|dates|Alexander_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Alexander_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Alexander_NorthCarolina_UnitedStates.Male_Total_Population.data|Alexander_NorthCarolina_UnitedStates.Male_Total_Population.missing|Alexander_NorthCarolina_UnitedStates.Female_Total_Population.data|Alexander_NorthCarolina_UnitedStates.Female_Total_Population.missing|Alexander_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Alexander_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-18|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-19|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-20|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-21|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-22|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-23|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-24|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-25|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-26|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-27|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-28|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-29|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-30|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-10-31|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-01|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-02|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-03|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-04|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-05|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-06|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-07|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-08|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-09|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-10|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-11|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-12|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-13|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-14|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-15|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-16|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-17|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-18|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-19|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-20|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-21|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-22|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-23|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-24|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-25|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-26|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-27|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-28|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-29|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-11-30|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-01|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-02|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-03|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-04|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-05|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-06|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-07|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-08|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-09|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-10|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-11|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-12|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-13|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-14|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-15|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-16|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-17|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-18|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-19|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-20|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-21|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-22|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-23|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-24|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-25|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-26|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-27|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-28|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-29|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-30|7489.0|0|19008.0|0|18345.0|0|7529.0|0
0|2021-12-31|7489.0|0|19008.0|0|18345.0|0|7529.0|0
