|dates|Fulton_Indiana_UnitedStates.JHU_ConfirmedCases.data|Fulton_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Fulton_Indiana_UnitedStates.NYT_ConfirmedCases.data|Fulton_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Fulton_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Fulton_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Fulton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Fulton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3045.0|0|3047.0|0|66.0|0|0.0|100
0|2021-10-18|3065.0|0|3067.0|0|67.0|0|0.0|100
0|2021-10-19|3077.0|0|3079.0|0|67.0|0|0.0|100
0|2021-10-20|3091.0|0|3093.0|0|67.0|0|0.0|100
0|2021-10-21|3094.0|0|3096.0|0|67.0|0|0.0|100
0|2021-10-22|3126.0|0|3128.0|0|67.0|0|0.0|100
0|2021-10-23|3126.0|0|3128.0|0|67.0|0|0.0|100
0|2021-10-24|3126.0|0|3128.0|0|67.0|0|0.0|100
0|2021-10-25|3134.0|0|3135.0|0|68.0|0|0.0|100
0|2021-10-26|3158.0|0|3159.0|0|68.0|0|0.0|100
0|2021-10-27|3180.0|0|3181.0|0|68.0|0|0.0|100
0|2021-10-28|3184.0|0|3185.0|0|68.0|0|0.0|100
0|2021-10-29|3206.0|0|3207.0|0|68.0|0|0.0|100
0|2021-10-30|3206.0|0|3207.0|0|68.0|0|0.0|100
0|2021-10-31|3206.0|0|3207.0|0|68.0|0|0.0|100
0|2021-11-01|3227.0|0|3228.0|0|69.0|0|0.0|100
0|2021-11-02|3236.0|0|3237.0|0|69.0|0|0.0|100
0|2021-11-03|3250.0|0|3251.0|0|69.0|0|0.0|100
0|2021-11-04|3256.0|0|3257.0|0|69.0|0|0.0|100
0|2021-11-05|3283.0|0|3284.0|0|69.0|0|0.0|100
0|2021-11-06|3283.0|0|3284.0|0|69.0|0|0.0|100
0|2021-11-07|3283.0|0|3284.0|0|69.0|0|0.0|100
0|2021-11-08|3315.0|0|3316.0|0|69.0|0|0.0|100
0|2021-11-09|3323.0|0|3324.0|0|69.0|0|0.0|100
0|2021-11-10|3323.0|0|3350.0|0|69.0|0|0.0|100
0|2021-11-11|3365.0|0|3366.0|0|69.0|0|0.0|100
0|2021-11-12|3386.0|0|3387.0|0|69.0|0|0.0|100
0|2021-11-13|3386.0|0|3387.0|0|69.0|0|0.0|100
0|2021-11-14|3386.0|0|3387.0|0|69.0|0|0.0|100
0|2021-11-15|3404.0|0|3405.0|0|69.0|0|0.0|100
0|2021-11-16|3416.0|0|3417.0|0|70.0|0|0.0|100
0|2021-11-17|3432.0|0|3433.0|0|70.0|0|0.0|100
0|2021-11-18|3439.0|0|3440.0|0|70.0|0|0.0|100
0|2021-11-19|3465.0|0|3466.0|0|70.0|0|0.0|100
0|2021-11-20|3465.0|0|3466.0|0|70.0|0|0.0|100
0|2021-11-21|3465.0|0|3466.0|0|70.0|0|0.0|100
0|2021-11-22|3497.0|0|3498.0|0|70.0|0|0.0|100
0|2021-11-23|3504.0|0|3505.0|0|70.0|0|0.0|100
0|2021-11-24|3522.0|0|3523.0|0|70.0|0|0.0|100
0|2021-11-25|3522.0|0|3523.0|0|70.0|0|0.0|100
0|2021-11-26|3522.0|0|3523.0|0|70.0|0|0.0|100
0|2021-11-27|3522.0|0|3523.0|0|70.0|0|0.0|100
0|2021-11-28|3522.0|0|3523.0|0|70.0|0|0.0|100
0|2021-11-29|3555.0|0|3556.0|0|72.0|0|0.0|100
0|2021-11-30|3568.0|0|3569.0|0|72.0|0|0.0|100
0|2021-12-01|3616.0|0|3617.0|0|73.0|0|0.0|100
0|2021-12-02|3616.0|0|3625.0|0|73.0|0|0.0|100
0|2021-12-03|3648.0|0|3649.0|0|74.0|0|0.0|100
0|2021-12-04|3648.0|0|3649.0|0|74.0|0|0.0|100
0|2021-12-05|3648.0|0|3649.0|0|74.0|0|0.0|100
0|2021-12-06|3683.0|0|3684.0|0|74.0|0|0.0|100
0|2021-12-07|3690.0|0|3691.0|0|74.0|0|0.0|100
0|2021-12-08|3715.0|0|3716.0|0|74.0|0|0.0|100
0|2021-12-09|3723.0|0|3724.0|0|74.0|0|0.0|100
0|2021-12-10|3737.0|0|3738.0|0|75.0|0|0.0|100
0|2021-12-11|3737.0|0|3738.0|0|75.0|0|0.0|100
0|2021-12-12|3737.0|0|3738.0|0|75.0|0|0.0|100
0|2021-12-13|3767.0|0|3768.0|0|77.0|0|0.0|100
0|2021-12-14|3767.0|0|3778.0|0|77.0|0|0.0|100
0|2021-12-15|3803.0|0|3804.0|0|78.0|0|0.0|100
0|2021-12-16|3815.0|0|3816.0|0|78.0|0|0.0|100
0|2021-12-17|3832.0|0|3833.0|0|78.0|0|0.0|100
0|2021-12-18|3832.0|0|3833.0|0|78.0|0|0.0|100
0|2021-12-19|3832.0|0|3833.0|0|78.0|0|0.0|100
0|2021-12-20|3869.0|0|3871.0|0|79.0|0|0.0|100
0|2021-12-21|3879.0|0|3881.0|0|80.0|0|0.0|100
0|2021-12-22|3884.0|0|3886.0|0|81.0|0|0.0|100
0|2021-12-23|3884.0|0|3886.0|0|81.0|0|0.0|100
0|2021-12-24|3884.0|0|3886.0|0|81.0|0|0.0|100
0|2021-12-25|3884.0|0|3886.0|0|81.0|0|0.0|100
0|2021-12-26|3884.0|0|3886.0|0|81.0|0|0.0|100
0|2021-12-27|3909.0|0|3911.0|0|81.0|0|0.0|100
0|2021-12-28|3917.0|0|3919.0|0|82.0|0|0.0|100
0|2021-12-29|3935.0|0|3937.0|0|83.0|0|0.0|100
0|2021-12-30|3941.0|0|3943.0|0|84.0|0|0.0|100
0|2021-12-31|3941.0|0|3943.0|0|84.0|0|0.0|100
0|2022-01-01|3941.0|0|3943.0|0|84.0|0|0.0|100
0|2022-01-02|3941.0|0|3943.0|0|84.0|0|0.0|100
0|2022-01-03|3975.0|0|3977.0|0|84.0|0|0.0|100
0|2022-01-04|3985.0|0|3987.0|0|84.0|0|0.0|100
0|2022-01-05|4018.0|0|4020.0|0|84.0|0|0.0|100
0|2022-01-06|4028.0|0|4030.0|0|86.0|0|0.0|100
0|2022-01-07|4046.0|0|4048.0|0|90.0|0|0.0|100
0|2022-01-08|4046.0|0|4048.0|0|90.0|0|0.0|100
0|2022-01-09|4046.0|0|4048.0|0|90.0|0|0.0|100
0|2022-01-10|4103.0|0|4105.0|0|90.0|0|0.0|100
0|2022-01-11|4113.0|0|4115.0|0|90.0|0|0.0|100
0|2022-01-12|4150.0|0|4152.0|0|90.0|0|0.0|100
0|2022-01-13|4150.0|0|4174.0|0|90.0|0|0.0|100
0|2022-01-14|4202.0|0|4205.0|0|90.0|0|0.0|100
0|2022-01-15|4202.0|0|4205.0|0|90.0|0|0.0|100
0|2022-01-16|4202.0|0|4205.0|0|90.0|0|0.0|100
0|2022-01-17|4267.0|0|0.0|100|90.0|0|0.0|100
