|dates|Morgan_Illinois_UnitedStates.JHU_ConfirmedCases.data|Morgan_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Illinois_UnitedStates.NYT_ConfirmedCases.data|Morgan_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Morgan_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5038.0|0|5197.0|0|99.0|0|0.0|100
0|2021-10-18|5052.0|0|5224.0|0|99.0|0|0.0|100
0|2021-10-19|5060.0|0|5231.0|0|100.0|0|0.0|100
0|2021-10-20|5076.0|0|5242.0|0|100.0|0|0.0|100
0|2021-10-21|5079.0|0|5255.0|0|100.0|0|0.0|100
0|2021-10-22|5088.0|0|5260.0|0|100.0|0|0.0|100
0|2021-10-23|5088.0|0|5260.0|0|100.0|0|0.0|100
0|2021-10-24|5088.0|0|5260.0|0|100.0|0|0.0|100
0|2021-10-25|5103.0|0|5288.0|0|100.0|0|0.0|100
0|2021-10-26|5115.0|0|5291.0|0|100.0|0|0.0|100
0|2021-10-27|5126.0|0|5294.0|0|100.0|0|0.0|100
0|2021-10-28|5139.0|0|5310.0|0|100.0|0|0.0|100
0|2021-10-29|5147.0|0|5319.0|0|100.0|0|0.0|100
0|2021-10-30|5147.0|0|5319.0|0|100.0|0|0.0|100
0|2021-10-31|5147.0|0|5319.0|0|100.0|0|0.0|100
0|2021-11-01|5165.0|0|5337.0|0|100.0|0|0.0|100
0|2021-11-02|5174.0|0|5343.0|0|100.0|0|0.0|100
0|2021-11-03|5180.0|0|5352.0|0|102.0|0|0.0|100
0|2021-11-04|5186.0|0|5355.0|0|102.0|0|0.0|100
0|2021-11-05|5189.0|0|5361.0|0|102.0|0|0.0|100
0|2021-11-06|5189.0|0|5361.0|0|102.0|0|0.0|100
0|2021-11-07|5189.0|0|5361.0|0|102.0|0|0.0|100
0|2021-11-08|5196.0|0|5371.0|0|102.0|0|0.0|100
0|2021-11-09|5197.0|0|5372.0|0|102.0|0|0.0|100
0|2021-11-10|5203.0|0|5377.0|0|102.0|0|0.0|100
0|2021-11-11|5203.0|0|5377.0|0|102.0|0|0.0|100
0|2021-11-12|5213.0|0|5388.0|0|102.0|0|0.0|100
0|2021-11-13|5213.0|0|5388.0|0|102.0|0|0.0|100
0|2021-11-14|5213.0|0|5388.0|0|102.0|0|0.0|100
0|2021-11-15|5226.0|0|5401.0|0|102.0|0|0.0|100
0|2021-11-16|5228.0|0|5401.0|0|102.0|0|0.0|100
0|2021-11-17|5232.0|0|5401.0|0|102.0|0|0.0|100
0|2021-11-18|5237.0|0|5401.0|0|102.0|0|0.0|100
