|dates|Upton_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Upton_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Upton_Texas_UnitedStates.Male_Total_Population.data|Upton_Texas_UnitedStates.Male_Total_Population.missing|Upton_Texas_UnitedStates.Female_Total_Population.data|Upton_Texas_UnitedStates.Female_Total_Population.missing|Upton_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Upton_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-18|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-19|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-20|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-21|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-22|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-23|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-24|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-25|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-26|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-27|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-28|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-29|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-30|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-10-31|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-01|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-02|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-03|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-04|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-05|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-06|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-07|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-08|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-09|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-10|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-11|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-12|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-13|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-14|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-15|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-16|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-17|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-18|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-19|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-20|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-21|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-22|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-23|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-24|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-25|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-26|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-27|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-28|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-29|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-11-30|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-01|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-02|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-03|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-04|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-05|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-06|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-07|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-08|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-09|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-10|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-11|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-12|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-13|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-14|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-15|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-16|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-17|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-18|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-19|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-20|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-21|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-22|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-23|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-24|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-25|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-26|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-27|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-28|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-29|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-30|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2021-12-31|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-01|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-02|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-03|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-04|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-05|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-06|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-07|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-08|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-09|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-10|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-11|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-12|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-13|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-14|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-15|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-16|516.0|0|1881.0|0|1790.0|0|1083.0|0
0|2022-01-17|516.0|0|1881.0|0|1790.0|0|1083.0|0
