|dates|Tattnall_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Tattnall_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Tattnall_Georgia_UnitedStates.Male_Total_Population.data|Tattnall_Georgia_UnitedStates.Male_Total_Population.missing|Tattnall_Georgia_UnitedStates.Female_Total_Population.data|Tattnall_Georgia_UnitedStates.Female_Total_Population.missing|Tattnall_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|Tattnall_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-18|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-19|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-20|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-21|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-22|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-23|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-24|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-25|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-26|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-27|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-28|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-29|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-30|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-10-31|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-01|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-02|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-03|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-04|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-05|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-06|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-07|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-08|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-09|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-10|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-11|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-12|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-13|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-14|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-15|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-16|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-17|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-18|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-19|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-20|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-21|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-22|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-23|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-24|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-25|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-26|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-27|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-28|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-29|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-11-30|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-12-01|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-12-02|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-12-03|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-12-04|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-12-05|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-12-06|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-12-07|3629.0|0|14640.0|0|10751.0|0|5146.0|0
0|2021-12-08|3629.0|0|14640.0|0|10751.0|0|5146.0|0
