|dates|Montgomery_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Montgomery_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Montgomery_Texas_UnitedStates.Male_Total_Population.data|Montgomery_Texas_UnitedStates.Male_Total_Population.missing|Montgomery_Texas_UnitedStates.Female_Total_Population.data|Montgomery_Texas_UnitedStates.Female_Total_Population.missing|Montgomery_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Montgomery_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-18|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-19|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-20|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-21|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-22|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-23|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-24|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-25|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-26|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-27|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-28|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-29|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-30|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-10-31|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-01|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-02|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-03|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-04|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-05|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-06|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-07|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-08|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-09|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-10|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-11|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-12|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-13|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-14|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-15|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-16|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-17|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-18|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-19|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-20|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-21|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-22|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-23|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-24|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-25|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-26|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-27|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-28|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-29|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-11-30|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-12-01|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-12-02|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-12-03|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-12-04|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-12-05|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2021-12-06|77263.0|0|292758.0|0|298167.0|0|155734.0|0
