|dates|Butler_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Butler_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Butler_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Butler_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Butler_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2295.0|0|2295.0|0|32.0|0|0.0|100
0|2021-10-18|2299.0|0|2299.0|0|34.0|0|0.0|100
0|2021-10-19|2305.0|0|2305.0|0|35.0|0|0.0|100
0|2021-10-20|2313.0|0|2313.0|0|35.0|0|0.0|100
0|2021-10-21|2313.0|0|2313.0|0|35.0|0|0.0|100
0|2021-10-22|2319.0|0|2319.0|0|35.0|0|0.0|100
0|2021-10-23|2319.0|0|2319.0|0|35.0|0|0.0|100
0|2021-10-24|2319.0|0|2319.0|0|35.0|0|0.0|100
0|2021-10-25|1813.0|0|2323.0|0|28.0|0|0.0|100
0|2021-10-26|2330.0|0|2330.0|0|35.0|0|0.0|100
0|2021-10-27|2334.0|0|2334.0|0|35.0|0|0.0|100
0|2021-10-28|2338.0|0|2338.0|0|36.0|0|0.0|100
0|2021-10-29|2343.0|0|2343.0|0|36.0|0|0.0|100
0|2021-10-30|2343.0|0|2343.0|0|36.0|0|0.0|100
0|2021-10-31|2343.0|0|2343.0|0|36.0|0|0.0|100
0|2021-11-01|2349.0|0|2349.0|0|37.0|0|0.0|100
0|2021-11-02|2351.0|0|2351.0|0|37.0|0|0.0|100
0|2021-11-03|2359.0|0|2359.0|0|37.0|0|0.0|100
0|2021-11-04|2359.0|0|2359.0|0|37.0|0|0.0|100
0|2021-11-05|2363.0|0|2363.0|0|37.0|0|0.0|100
0|2021-11-06|2363.0|0|2363.0|0|37.0|0|0.0|100
0|2021-11-07|2363.0|0|2363.0|0|37.0|0|0.0|100
0|2021-11-08|2365.0|0|2365.0|0|39.0|0|0.0|100
0|2021-11-09|2365.0|0|2365.0|0|39.0|0|0.0|100
0|2021-11-10|2365.0|0|2374.0|0|39.0|0|0.0|100
0|2021-11-11|2374.0|0|2374.0|0|39.0|0|0.0|100
0|2021-11-12|2384.0|0|2384.0|0|40.0|0|0.0|100
0|2021-11-13|2384.0|0|2384.0|0|40.0|0|0.0|100
0|2021-11-14|2384.0|0|2384.0|0|40.0|0|0.0|100
0|2021-11-15|2397.0|0|2397.0|0|40.0|0|0.0|100
0|2021-11-16|2408.0|0|2408.0|0|40.0|0|0.0|100
0|2021-11-17|2424.0|0|2424.0|0|40.0|0|0.0|100
0|2021-11-18|2430.0|0|2430.0|0|40.0|0|0.0|100
0|2021-11-19|2433.0|0|2433.0|0|40.0|0|0.0|100
0|2021-11-20|2433.0|0|2433.0|0|40.0|0|0.0|100
0|2021-11-21|2433.0|0|2433.0|0|40.0|0|0.0|100
0|2021-11-22|2449.0|0|2449.0|0|40.0|0|0.0|100
0|2021-11-23|2454.0|0|2454.0|0|40.0|0|0.0|100
0|2021-11-24|2462.0|0|2462.0|0|40.0|0|0.0|100
0|2021-11-25|2462.0|0|2462.0|0|40.0|0|0.0|100
0|2021-11-26|2462.0|0|2462.0|0|40.0|0|0.0|100
0|2021-11-27|2462.0|0|2462.0|0|40.0|0|0.0|100
0|2021-11-28|2462.0|0|2462.0|0|40.0|0|0.0|100
0|2021-11-29|2477.0|0|2477.0|0|40.0|0|0.0|100
0|2021-11-30|2488.0|0|2488.0|0|40.0|0|0.0|100
0|2021-12-01|2501.0|0|2501.0|0|41.0|0|0.0|100
0|2021-12-02|2501.0|0|2514.0|0|41.0|0|0.0|100
0|2021-12-03|2515.0|0|2515.0|0|41.0|0|0.0|100
0|2021-12-04|2515.0|0|2515.0|0|41.0|0|0.0|100
0|2021-12-05|2515.0|0|2515.0|0|41.0|0|0.0|100
0|2021-12-06|2529.0|0|2529.0|0|41.0|0|0.0|100
0|2021-12-07|2532.0|0|2532.0|0|42.0|0|0.0|100
0|2021-12-08|2543.0|0|2543.0|0|42.0|0|0.0|100
0|2021-12-09|2552.0|0|2552.0|0|42.0|0|0.0|100
0|2021-12-10|2561.0|0|2561.0|0|43.0|0|0.0|100
0|2021-12-11|2561.0|0|2561.0|0|43.0|0|0.0|100
0|2021-12-12|2561.0|0|2561.0|0|43.0|0|0.0|100
0|2021-12-13|2572.0|0|2572.0|0|43.0|0|0.0|100
0|2021-12-14|2572.0|0|2573.0|0|43.0|0|0.0|100
0|2021-12-15|2577.0|0|2577.0|0|43.0|0|0.0|100
0|2021-12-16|2581.0|0|2581.0|0|43.0|0|0.0|100
0|2021-12-17|2591.0|0|2591.0|0|43.0|0|0.0|100
0|2021-12-18|2591.0|0|2591.0|0|43.0|0|0.0|100
0|2021-12-19|2591.0|0|2591.0|0|43.0|0|0.0|100
0|2021-12-20|2600.0|0|2600.0|0|43.0|0|0.0|100
0|2021-12-21|2606.0|0|2606.0|0|43.0|0|0.0|100
0|2021-12-22|2615.0|0|2615.0|0|43.0|0|0.0|100
0|2021-12-23|2615.0|0|2615.0|0|43.0|0|0.0|100
0|2021-12-24|2615.0|0|2615.0|0|43.0|0|0.0|100
0|2021-12-25|2615.0|0|2615.0|0|43.0|0|0.0|100
0|2021-12-26|2615.0|0|2615.0|0|43.0|0|0.0|100
0|2021-12-27|2628.0|0|2628.0|0|43.0|0|0.0|100
0|2021-12-28|2633.0|0|2633.0|0|43.0|0|0.0|100
0|2021-12-29|2636.0|0|2636.0|0|43.0|0|0.0|100
0|2021-12-30|2636.0|0|2636.0|0|43.0|0|0.0|100
0|2021-12-31|2636.0|0|2636.0|0|43.0|0|0.0|100
0|2022-01-01|2636.0|0|2636.0|0|43.0|0|0.0|100
0|2022-01-02|2636.0|0|2636.0|0|43.0|0|0.0|100
0|2022-01-03|2683.0|0|2683.0|0|44.0|0|0.0|100
0|2022-01-04|2694.0|0|2694.0|0|44.0|0|0.0|100
0|2022-01-05|2709.0|0|2709.0|0|44.0|0|0.0|100
0|2022-01-06|2715.0|0|2715.0|0|44.0|0|0.0|100
0|2022-01-07|2726.0|0|2726.0|0|44.0|0|0.0|100
0|2022-01-08|2726.0|0|2726.0|0|44.0|0|0.0|100
0|2022-01-09|2726.0|0|2726.0|0|44.0|0|0.0|100
0|2022-01-10|2738.0|0|2738.0|0|44.0|0|0.0|100
0|2022-01-11|2752.0|0|2752.0|0|44.0|0|0.0|100
0|2022-01-12|2782.0|0|2782.0|0|44.0|0|0.0|100
0|2022-01-13|2782.0|0|2799.0|0|44.0|0|0.0|100
0|2022-01-14|2827.0|0|2827.0|0|44.0|0|0.0|100
0|2022-01-15|2827.0|0|2827.0|0|44.0|0|0.0|100
0|2022-01-16|2827.0|0|2827.0|0|44.0|0|0.0|100
0|2022-01-17|2827.0|0|0.0|100|44.0|0|0.0|100
