|dates|Washington_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Washington_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Washington_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Washington_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Washington_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8310.0|0|8310.0|0|183.0|0|0.0|100
0|2021-10-18|8310.0|0|8310.0|0|183.0|0|0.0|100
0|2021-10-19|8310.0|0|8310.0|0|183.0|0|0.0|100
0|2021-10-20|8365.0|0|8365.0|0|193.0|0|0.0|100
0|2021-10-21|8365.0|0|8365.0|0|193.0|0|0.0|100
0|2021-10-22|8365.0|0|8365.0|0|193.0|0|0.0|100
0|2021-10-23|8365.0|0|8365.0|0|193.0|0|0.0|100
0|2021-10-24|8365.0|0|8365.0|0|193.0|0|0.0|100
0|2021-10-25|8365.0|0|8365.0|0|193.0|0|0.0|100
0|2021-10-26|8365.0|0|8365.0|0|193.0|0|0.0|100
0|2021-10-27|8413.0|0|8413.0|0|196.0|0|0.0|100
0|2021-10-28|8413.0|0|8413.0|0|196.0|0|0.0|100
0|2021-10-29|8413.0|0|8413.0|0|196.0|0|0.0|100
0|2021-10-30|8413.0|0|8413.0|0|196.0|0|0.0|100
0|2021-10-31|8413.0|0|8413.0|0|196.0|0|0.0|100
0|2021-11-01|8413.0|0|8413.0|0|196.0|0|0.0|100
0|2021-11-02|8413.0|0|8413.0|0|196.0|0|0.0|100
0|2021-11-03|8488.0|0|8488.0|0|200.0|0|0.0|100
0|2021-11-04|8488.0|0|8488.0|0|200.0|0|0.0|100
0|2021-11-05|8488.0|0|8488.0|0|200.0|0|0.0|100
0|2021-11-06|8488.0|0|8488.0|0|200.0|0|0.0|100
0|2021-11-07|8488.0|0|8488.0|0|200.0|0|0.0|100
0|2021-11-08|8488.0|0|8488.0|0|200.0|0|0.0|100
0|2021-11-09|8488.0|0|8488.0|0|200.0|0|0.0|100
0|2021-11-10|8488.0|0|8531.0|0|200.0|0|0.0|100
0|2021-11-11|8488.0|0|8531.0|0|200.0|0|0.0|100
0|2021-11-12|8531.0|0|8531.0|0|200.0|0|0.0|100
0|2021-11-13|8531.0|0|8531.0|0|200.0|0|0.0|100
0|2021-11-14|8531.0|0|8531.0|0|200.0|0|0.0|100
0|2021-11-15|8531.0|0|8531.0|0|200.0|0|0.0|100
0|2021-11-16|8531.0|0|8531.0|0|200.0|0|0.0|100
0|2021-11-17|8578.0|0|8578.0|0|200.0|0|0.0|100
0|2021-11-18|8578.0|0|8578.0|0|200.0|0|0.0|100
0|2021-11-19|8578.0|0|8578.0|0|200.0|0|0.0|100
0|2021-11-20|8578.0|0|8578.0|0|200.0|0|0.0|100
0|2021-11-21|8578.0|0|8578.0|0|200.0|0|0.0|100
0|2021-11-22|8578.0|0|8578.0|0|200.0|0|0.0|100
0|2021-11-23|8578.0|0|8578.0|0|200.0|0|0.0|100
0|2021-11-24|8639.0|0|8639.0|0|200.0|0|0.0|100
0|2021-11-25|8639.0|0|8639.0|0|200.0|0|0.0|100
0|2021-11-26|8639.0|0|8639.0|0|200.0|0|0.0|100
0|2021-11-27|8639.0|0|8639.0|0|200.0|0|0.0|100
0|2021-11-28|8639.0|0|8639.0|0|200.0|0|0.0|100
0|2021-11-29|8639.0|0|8639.0|0|200.0|0|0.0|100
0|2021-11-30|8639.0|0|8639.0|0|200.0|0|0.0|100
0|2021-12-01|8688.0|0|8688.0|0|200.0|0|0.0|100
0|2021-12-02|8688.0|0|8688.0|0|200.0|0|0.0|100
0|2021-12-03|8688.0|0|8688.0|0|200.0|0|0.0|100
0|2021-12-04|8688.0|0|8688.0|0|200.0|0|0.0|100
0|2021-12-05|8688.0|0|8688.0|0|200.0|0|0.0|100
0|2021-12-06|8688.0|0|8688.0|0|200.0|0|0.0|100
0|2021-12-07|8688.0|0|8688.0|0|200.0|0|0.0|100
0|2021-12-08|8786.0|0|8786.0|0|200.0|0|0.0|100
0|2021-12-09|8786.0|0|8786.0|0|200.0|0|0.0|100
0|2021-12-10|8786.0|0|8786.0|0|200.0|0|0.0|100
0|2021-12-11|8786.0|0|8786.0|0|200.0|0|0.0|100
0|2021-12-12|8786.0|0|8786.0|0|200.0|0|0.0|100
0|2021-12-13|8786.0|0|8786.0|0|200.0|0|0.0|100
0|2021-12-14|8786.0|0|8786.0|0|200.0|0|0.0|100
0|2021-12-15|8786.0|0|8891.0|0|200.0|0|0.0|100
0|2021-12-16|8891.0|0|8891.0|0|200.0|0|0.0|100
0|2021-12-17|8891.0|0|8891.0|0|200.0|0|0.0|100
0|2021-12-18|8891.0|0|8891.0|0|200.0|0|0.0|100
0|2021-12-19|8891.0|0|8891.0|0|200.0|0|0.0|100
