|dates|Union_Indiana_UnitedStates.BLS_EmployedPopulation.data|Union_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Union_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Union_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Union_Indiana_UnitedStates.BLS_UnemploymentRate.data|Union_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Union_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Union_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-18|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-19|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-20|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-21|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-22|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-23|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-24|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-25|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-26|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-27|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-28|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-29|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-30|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-10-31|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-01|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-02|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-03|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-04|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-05|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-06|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-07|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-08|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-09|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-10|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-11|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-12|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-13|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-14|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-15|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-16|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-17|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-18|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-19|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-20|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-21|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-22|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-23|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-24|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-25|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-26|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-27|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-28|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-29|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-11-30|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-12-01|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-12-02|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-12-03|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-12-04|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
0|2021-12-05|3382.0|0|99.0|0|2.8440103418557885|0|3481.0|0
