|dates|Travis_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Travis_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Travis_Texas_UnitedStates.Male_Total_Population.data|Travis_Texas_UnitedStates.Male_Total_Population.missing|Travis_Texas_UnitedStates.Female_Total_Population.data|Travis_Texas_UnitedStates.Female_Total_Population.missing|Travis_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Travis_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-18|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-19|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-20|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-21|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-22|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-23|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-24|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-25|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-26|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-27|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-28|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-29|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-30|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-10-31|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-01|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-02|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-03|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-04|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-05|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-06|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-07|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-08|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-09|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-10|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-11|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-12|123395.0|0|631266.0|0|617477.0|0|270726.0|0
