|dates|McIntosh_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|McIntosh_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|McIntosh_NorthDakota_UnitedStates.Male_Total_Population.data|McIntosh_NorthDakota_UnitedStates.Male_Total_Population.missing|McIntosh_NorthDakota_UnitedStates.Female_Total_Population.data|McIntosh_NorthDakota_UnitedStates.Female_Total_Population.missing|McIntosh_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|McIntosh_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-18|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-19|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-20|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-21|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-22|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-23|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-24|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-25|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-26|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-27|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-28|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-29|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-30|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-10-31|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-01|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-02|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-03|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-04|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-05|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-06|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-07|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-08|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-09|793.0|0|1261.0|0|1324.0|0|483.0|0
0|2021-11-10|793.0|0|1261.0|0|1324.0|0|483.0|0
