|dates|Dundy_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Dundy_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Dundy_Nebraska_UnitedStates.Male_Total_Population.data|Dundy_Nebraska_UnitedStates.Male_Total_Population.missing|Dundy_Nebraska_UnitedStates.Female_Total_Population.data|Dundy_Nebraska_UnitedStates.Female_Total_Population.missing|Dundy_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Dundy_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-18|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-19|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-20|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-21|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-22|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-23|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-24|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-25|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-26|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-27|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-28|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-29|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-30|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-10-31|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-01|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-02|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-03|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-04|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-05|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-06|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-07|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-08|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-09|447.0|0|885.0|0|885.0|0|339.0|0
0|2021-11-10|447.0|0|885.0|0|885.0|0|339.0|0
