|dates|Lake_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Lake_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Lake_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Lake_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Lake_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Lake_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Lake_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Lake_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2004.0|0|2004.0|0|31.0|0|0.0|100
0|2021-10-18|2007.0|0|2007.0|0|31.0|0|0.0|100
0|2021-10-19|2009.0|0|2009.0|0|31.0|0|0.0|100
0|2021-10-20|2012.0|0|2012.0|0|31.0|0|0.0|100
0|2021-10-21|2015.0|0|2015.0|0|31.0|0|0.0|100
0|2021-10-22|2015.0|0|2015.0|0|31.0|0|0.0|100
0|2021-10-23|2015.0|0|2015.0|0|31.0|0|0.0|100
0|2021-10-24|2015.0|0|2015.0|0|31.0|0|0.0|100
0|2021-10-25|2015.0|0|2015.0|0|31.0|0|0.0|100
0|2021-10-26|2019.0|0|2019.0|0|31.0|0|0.0|100
0|2021-10-27|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-10-28|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-10-29|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-10-30|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-10-31|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-01|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-02|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-03|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-04|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-05|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-06|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-07|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-08|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-09|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-10|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-11|2020.0|0|2020.0|0|31.0|0|0.0|100
0|2021-11-12|2021.0|0|2021.0|0|31.0|0|0.0|100
0|2021-11-13|2021.0|0|2021.0|0|31.0|0|0.0|100
0|2021-11-14|2021.0|0|2021.0|0|31.0|0|0.0|100
0|2021-11-15|2021.0|0|2021.0|0|31.0|0|0.0|100
0|2021-11-16|2021.0|0|2021.0|0|31.0|0|0.0|100
0|2021-11-17|2022.0|0|2022.0|0|31.0|0|0.0|100
0|2021-11-18|2022.0|0|2022.0|0|31.0|0|0.0|100
0|2021-11-19|2022.0|0|2022.0|0|31.0|0|0.0|100
0|2021-11-20|2022.0|0|2022.0|0|31.0|0|0.0|100
0|2021-11-21|2022.0|0|2022.0|0|31.0|0|0.0|100
0|2021-11-22|2023.0|0|2023.0|0|31.0|0|0.0|100
0|2021-11-23|2023.0|0|2023.0|0|31.0|0|0.0|100
0|2021-11-24|2024.0|0|2024.0|0|31.0|0|0.0|100
0|2021-11-25|2024.0|0|2024.0|0|31.0|0|0.0|100
0|2021-11-26|2024.0|0|2024.0|0|31.0|0|0.0|100
0|2021-11-27|2024.0|0|2024.0|0|31.0|0|0.0|100
0|2021-11-28|2024.0|0|2024.0|0|31.0|0|0.0|100
0|2021-11-29|2024.0|0|2024.0|0|31.0|0|0.0|100
0|2021-11-30|2026.0|0|2026.0|0|31.0|0|0.0|100
0|2021-12-01|2027.0|0|2027.0|0|31.0|0|0.0|100
0|2021-12-02|2027.0|0|2027.0|0|31.0|0|0.0|100
0|2021-12-03|2027.0|0|2027.0|0|31.0|0|0.0|100
0|2021-12-04|2027.0|0|2027.0|0|31.0|0|0.0|100
0|2021-12-05|2027.0|0|2027.0|0|31.0|0|0.0|100
0|2021-12-06|2029.0|0|2029.0|0|31.0|0|0.0|100
0|2021-12-07|2031.0|0|2031.0|0|32.0|0|0.0|100
0|2021-12-08|2033.0|0|2033.0|0|32.0|0|0.0|100
0|2021-12-09|2033.0|0|2033.0|0|32.0|0|0.0|100
0|2021-12-10|2035.0|0|2035.0|0|32.0|0|0.0|100
0|2021-12-11|2035.0|0|2035.0|0|32.0|0|0.0|100
0|2021-12-12|2035.0|0|2035.0|0|32.0|0|0.0|100
0|2021-12-13|2038.0|0|2038.0|0|32.0|0|0.0|100
0|2021-12-14|2038.0|0|2038.0|0|32.0|0|0.0|100
0|2021-12-15|2041.0|0|2041.0|0|32.0|0|0.0|100
0|2021-12-16|2041.0|0|2041.0|0|32.0|0|0.0|100
0|2021-12-17|2042.0|0|2042.0|0|32.0|0|0.0|100
0|2021-12-18|2042.0|0|2042.0|0|32.0|0|0.0|100
0|2021-12-19|2042.0|0|2042.0|0|32.0|0|0.0|100
0|2021-12-20|2042.0|0|2042.0|0|32.0|0|0.0|100
0|2021-12-21|2043.0|0|2043.0|0|32.0|0|0.0|100
0|2021-12-22|2044.0|0|2044.0|0|32.0|0|0.0|100
0|2021-12-23|2048.0|0|2048.0|0|34.0|0|0.0|100
0|2021-12-24|2048.0|0|2048.0|0|34.0|0|0.0|100
0|2021-12-25|2048.0|0|2048.0|0|34.0|0|0.0|100
0|2021-12-26|2048.0|0|2048.0|0|34.0|0|0.0|100
0|2021-12-27|2050.0|0|2050.0|0|34.0|0|0.0|100
0|2021-12-28|2050.0|0|2053.0|0|34.0|0|0.0|100
0|2021-12-29|2060.0|0|2060.0|0|34.0|0|0.0|100
0|2021-12-30|2065.0|0|2065.0|0|34.0|0|0.0|100
0|2021-12-31|2065.0|0|2065.0|0|34.0|0|0.0|100
0|2022-01-01|2065.0|0|2065.0|0|34.0|0|0.0|100
0|2022-01-02|2065.0|0|2065.0|0|34.0|0|0.0|100
0|2022-01-03|2089.0|0|2089.0|0|34.0|0|0.0|100
0|2022-01-04|2100.0|0|2100.0|0|34.0|0|0.0|100
0|2022-01-05|2100.0|0|2100.0|0|34.0|0|0.0|100
0|2022-01-06|2100.0|0|2100.0|0|34.0|0|0.0|100
0|2022-01-07|2100.0|0|2100.0|0|34.0|0|0.0|100
0|2022-01-08|2100.0|0|2100.0|0|34.0|0|0.0|100
0|2022-01-09|2100.0|0|2100.0|0|34.0|0|0.0|100
0|2022-01-10|2100.0|0|2100.0|0|34.0|0|0.0|100
0|2022-01-11|2100.0|0|2100.0|0|34.0|0|0.0|100
0|2022-01-12|2177.0|0|2177.0|0|34.0|0|0.0|100
0|2022-01-13|2177.0|0|2177.0|0|34.0|0|0.0|100
0|2022-01-14|2177.0|0|2177.0|0|34.0|0|0.0|100
0|2022-01-15|2177.0|0|2177.0|0|34.0|0|0.0|100
0|2022-01-16|2177.0|0|2177.0|0|34.0|0|0.0|100
0|2022-01-17|2177.0|0|0.0|100|34.0|0|0.0|100
