|dates|Montgomery_Alabama_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Alabama_UnitedStates.NYT_ConfirmedCases.data|Montgomery_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Montgomery_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|33971.0|0|33971.0|0|725.0|0|0.0|100
0|2021-10-18|33996.0|0|33996.0|0|725.0|0|0.0|100
0|2021-10-19|34013.0|0|34013.0|0|728.0|0|0.0|100
0|2021-10-20|34031.0|0|34031.0|0|734.0|0|0.0|100
0|2021-10-21|34067.0|0|34067.0|0|734.0|0|0.0|100
0|2021-10-22|34092.0|0|34092.0|0|739.0|0|0.0|100
0|2021-10-23|34106.0|0|34106.0|0|740.0|0|0.0|100
0|2021-10-24|34116.0|0|34116.0|0|740.0|0|0.0|100
0|2021-10-25|34123.0|0|34123.0|0|740.0|0|0.0|100
0|2021-10-26|34130.0|0|34130.0|0|740.0|0|0.0|100
0|2021-10-27|34195.0|0|34195.0|0|740.0|0|0.0|100
0|2021-10-28|34237.0|0|34237.0|0|747.0|0|0.0|100
0|2021-10-29|34232.0|0|34232.0|0|751.0|0|0.0|100
0|2021-10-30|34261.0|0|34261.0|0|753.0|0|0.0|100
0|2021-10-31|34272.0|0|34272.0|0|753.0|0|0.0|100
0|2021-11-01|34281.0|0|34281.0|0|753.0|0|0.0|100
0|2021-11-02|34291.0|0|34291.0|0|756.0|0|0.0|100
0|2021-11-03|34291.0|0|34291.0|0|758.0|0|0.0|100
0|2021-11-04|34289.0|0|34289.0|0|759.0|0|0.0|100
0|2021-11-05|34290.0|0|34290.0|0|763.0|0|0.0|100
0|2021-11-06|34299.0|0|34299.0|0|764.0|0|0.0|100
0|2021-11-07|34304.0|0|34304.0|0|764.0|0|0.0|100
0|2021-11-08|34305.0|0|34305.0|0|764.0|0|0.0|100
0|2021-11-09|34306.0|0|34306.0|0|772.0|0|0.0|100
0|2021-11-10|34306.0|0|34307.0|0|772.0|0|0.0|100
0|2021-11-11|34337.0|0|34337.0|0|778.0|0|0.0|100
0|2021-11-12|34356.0|0|34356.0|0|778.0|0|0.0|100
0|2021-11-13|34367.0|0|34367.0|0|779.0|0|0.0|100
0|2021-11-14|34374.0|0|34374.0|0|779.0|0|0.0|100
0|2021-11-15|34390.0|0|34390.0|0|779.0|0|0.0|100
0|2021-11-16|34406.0|0|34406.0|0|780.0|0|0.0|100
0|2021-11-17|34412.0|0|34412.0|0|781.0|0|0.0|100
0|2021-11-18|34421.0|0|34421.0|0|781.0|0|0.0|100
0|2021-11-19|34431.0|0|34431.0|0|781.0|0|0.0|100
0|2021-11-20|34449.0|0|34449.0|0|780.0|0|0.0|100
0|2021-11-21|34457.0|0|34457.0|0|780.0|0|0.0|100
0|2021-11-22|34467.0|0|34467.0|0|780.0|0|0.0|100
0|2021-11-23|34462.0|0|34462.0|0|781.0|0|0.0|100
0|2021-11-24|34462.0|0|34462.0|0|781.0|0|0.0|100
0|2021-11-25|34473.0|0|34473.0|0|781.0|0|0.0|100
0|2021-11-26|34473.0|0|34473.0|0|781.0|0|0.0|100
0|2021-11-27|34482.0|0|34482.0|0|781.0|0|0.0|100
