|dates|Stafford_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stafford_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stafford_Kansas_UnitedStates.Male_Total_Population.data|Stafford_Kansas_UnitedStates.Male_Total_Population.missing|Stafford_Kansas_UnitedStates.Female_Total_Population.data|Stafford_Kansas_UnitedStates.Female_Total_Population.missing|Stafford_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Stafford_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-18|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-19|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-20|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-21|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-22|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-23|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-24|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-25|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-26|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-27|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-28|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-29|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-30|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-10-31|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-11-01|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-11-02|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-11-03|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-11-04|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-11-05|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-11-06|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-11-07|927.0|0|2121.0|0|2057.0|0|979.0|0
0|2021-11-08|927.0|0|2121.0|0|2057.0|0|979.0|0
