|dates|Kalamazoo_Michigan_UnitedStates.JHU_ConfirmedCases.data|Kalamazoo_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Kalamazoo_Michigan_UnitedStates.NYT_ConfirmedCases.data|Kalamazoo_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Kalamazoo_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Kalamazoo_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Kalamazoo_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Kalamazoo_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|28740.0|0|28740.0|0|443.0|0|0.0|100
0|2021-10-18|28899.0|0|28899.0|0|444.0|0|0.0|100
0|2021-10-19|28899.0|0|28899.0|0|444.0|0|0.0|100
0|2021-10-20|29082.0|0|29082.0|0|446.0|0|0.0|100
0|2021-10-21|29082.0|0|29082.0|0|446.0|0|0.0|100
0|2021-10-22|29317.0|0|29317.0|0|450.0|0|0.0|100
0|2021-10-23|29317.0|0|29317.0|0|450.0|0|0.0|100
0|2021-10-24|29317.0|0|29317.0|0|450.0|0|0.0|100
0|2021-10-25|29488.0|0|29488.0|0|452.0|0|0.0|100
0|2021-10-26|29488.0|0|29488.0|0|452.0|0|0.0|100
0|2021-10-27|29723.0|0|29723.0|0|454.0|0|0.0|100
0|2021-10-28|29723.0|0|29723.0|0|454.0|0|0.0|100
0|2021-10-29|29966.0|0|29966.0|0|458.0|0|0.0|100
0|2021-10-30|29966.0|0|29966.0|0|458.0|0|0.0|100
0|2021-10-31|29966.0|0|29966.0|0|458.0|0|0.0|100
0|2021-11-01|30206.0|0|30206.0|0|458.0|0|0.0|100
0|2021-11-02|30206.0|0|30206.0|0|458.0|0|0.0|100
0|2021-11-03|30534.0|0|30534.0|0|465.0|0|0.0|100
0|2021-11-04|30534.0|0|30534.0|0|465.0|0|0.0|100
0|2021-11-05|30816.0|0|30816.0|0|467.0|0|0.0|100
0|2021-11-06|30816.0|0|30816.0|0|467.0|0|0.0|100
