|dates|Lake_Montana_UnitedStates.JHU_ConfirmedCases.data|Lake_Montana_UnitedStates.JHU_ConfirmedCases.missing|Lake_Montana_UnitedStates.NYT_ConfirmedCases.data|Lake_Montana_UnitedStates.NYT_ConfirmedCases.missing|Lake_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Lake_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Lake_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Lake_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3822.0|0|3822.0|0|58.0|0|0.0|100
0|2021-10-18|3867.0|0|3867.0|0|58.0|0|0.0|100
0|2021-10-19|3889.0|0|3889.0|0|58.0|0|0.0|100
0|2021-10-20|3921.0|0|3921.0|0|60.0|0|0.0|100
0|2021-10-21|3937.0|0|3937.0|0|61.0|0|0.0|100
0|2021-10-22|3993.0|0|3993.0|0|61.0|0|0.0|100
0|2021-10-23|3993.0|0|3993.0|0|61.0|0|0.0|100
0|2021-10-24|3993.0|0|3993.0|0|61.0|0|0.0|100
0|2021-10-25|4030.0|0|4030.0|0|61.0|0|0.0|100
0|2021-10-26|4045.0|0|4045.0|0|64.0|0|0.0|100
0|2021-10-27|4051.0|0|4051.0|0|64.0|0|0.0|100
0|2021-10-28|4129.0|0|4129.0|0|65.0|0|0.0|100
0|2021-10-29|4191.0|0|4191.0|0|65.0|0|0.0|100
0|2021-10-30|4191.0|0|4191.0|0|65.0|0|0.0|100
0|2021-10-31|4191.0|0|4191.0|0|65.0|0|0.0|100
0|2021-11-01|4219.0|0|4219.0|0|66.0|0|0.0|100
0|2021-11-02|4232.0|0|4232.0|0|66.0|0|0.0|100
0|2021-11-03|4269.0|0|4269.0|0|67.0|0|0.0|100
0|2021-11-04|4298.0|0|4298.0|0|68.0|0|0.0|100
0|2021-11-05|4313.0|0|4313.0|0|68.0|0|0.0|100
0|2021-11-06|4313.0|0|4313.0|0|68.0|0|0.0|100
0|2021-11-07|4313.0|0|4313.0|0|68.0|0|0.0|100
0|2021-11-08|4325.0|0|4325.0|0|68.0|0|0.0|100
0|2021-11-09|4333.0|0|4333.0|0|68.0|0|0.0|100
0|2021-11-10|4382.0|0|4382.0|0|68.0|0|0.0|100
0|2021-11-11|4382.0|0|4382.0|0|68.0|0|0.0|100
0|2021-11-12|4397.0|0|4397.0|0|68.0|0|0.0|100
0|2021-11-13|4397.0|0|4397.0|0|68.0|0|0.0|100
0|2021-11-14|4397.0|0|4397.0|0|68.0|0|0.0|100
0|2021-11-15|4451.0|0|4451.0|0|69.0|0|0.0|100
0|2021-11-16|4479.0|0|4479.0|0|71.0|0|0.0|100
0|2021-11-17|4501.0|0|4501.0|0|71.0|0|0.0|100
0|2021-11-18|4517.0|0|4517.0|0|73.0|0|0.0|100
0|2021-11-19|4549.0|0|4549.0|0|73.0|0|0.0|100
0|2021-11-20|4549.0|0|4549.0|0|73.0|0|0.0|100
0|2021-11-21|4549.0|0|4549.0|0|73.0|0|0.0|100
0|2021-11-22|4552.0|0|4552.0|0|73.0|0|0.0|100
0|2021-11-23|4579.0|0|4579.0|0|81.0|0|0.0|100
0|2021-11-24|4593.0|0|4593.0|0|81.0|0|0.0|100
0|2021-11-25|4593.0|0|4593.0|0|81.0|0|0.0|100
0|2021-11-26|4593.0|0|4599.0|0|81.0|0|0.0|100
0|2021-11-27|4599.0|0|4599.0|0|82.0|0|0.0|100
0|2021-11-28|4599.0|0|4599.0|0|82.0|0|0.0|100
0|2021-11-29|4622.0|0|4622.0|0|82.0|0|0.0|100
0|2021-11-30|4624.0|0|4624.0|0|82.0|0|0.0|100
0|2021-12-01|4654.0|0|4654.0|0|83.0|0|0.0|100
0|2021-12-02|4662.0|0|4662.0|0|83.0|0|0.0|100
0|2021-12-03|4670.0|0|4670.0|0|83.0|0|0.0|100
0|2021-12-04|4670.0|0|4670.0|0|83.0|0|0.0|100
0|2021-12-05|4670.0|0|4670.0|0|83.0|0|0.0|100
0|2021-12-06|4677.0|0|4677.0|0|83.0|0|0.0|100
0|2021-12-07|4680.0|0|4680.0|0|83.0|0|0.0|100
0|2021-12-08|4702.0|0|4702.0|0|83.0|0|0.0|100
0|2021-12-09|4731.0|0|4731.0|0|83.0|0|0.0|100
0|2021-12-10|4740.0|0|4740.0|0|83.0|0|0.0|100
0|2021-12-11|4740.0|0|4740.0|0|83.0|0|0.0|100
0|2021-12-12|4740.0|0|4740.0|0|83.0|0|0.0|100
0|2021-12-13|4744.0|0|4744.0|0|83.0|0|0.0|100
0|2021-12-14|4744.0|0|4749.0|0|83.0|0|0.0|100
0|2021-12-15|4766.0|0|4766.0|0|83.0|0|0.0|100
0|2021-12-16|4771.0|0|4771.0|0|84.0|0|0.0|100
0|2021-12-17|4772.0|0|4772.0|0|84.0|0|0.0|100
0|2021-12-18|4772.0|0|4772.0|0|84.0|0|0.0|100
0|2021-12-19|4772.0|0|4772.0|0|84.0|0|0.0|100
0|2021-12-20|4778.0|0|4778.0|0|84.0|0|0.0|100
0|2021-12-21|4783.0|0|4783.0|0|84.0|0|0.0|100
0|2021-12-22|4786.0|0|4786.0|0|84.0|0|0.0|100
0|2021-12-23|4792.0|0|4792.0|0|86.0|0|0.0|100
0|2021-12-24|4792.0|0|4792.0|0|86.0|0|0.0|100
