|dates|Park_Montana_UnitedStates.JHU_ConfirmedCases.data|Park_Montana_UnitedStates.JHU_ConfirmedCases.missing|Park_Montana_UnitedStates.NYT_ConfirmedCases.data|Park_Montana_UnitedStates.NYT_ConfirmedCases.missing|Park_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Park_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Park_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Park_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2085.0|0|2085.0|0|27.0|0|0.0|100
0|2021-10-18|2142.0|0|2142.0|0|27.0|0|0.0|100
0|2021-10-19|2146.0|0|2146.0|0|27.0|0|0.0|100
0|2021-10-20|2173.0|0|2173.0|0|27.0|0|0.0|100
0|2021-10-21|2203.0|0|2203.0|0|27.0|0|0.0|100
0|2021-10-22|2239.0|0|2239.0|0|27.0|0|0.0|100
0|2021-10-23|2239.0|0|2239.0|0|27.0|0|0.0|100
0|2021-10-24|2239.0|0|2239.0|0|27.0|0|0.0|100
0|2021-10-25|2257.0|0|2257.0|0|27.0|0|0.0|100
0|2021-10-26|2261.0|0|2261.0|0|27.0|0|0.0|100
0|2021-10-27|2274.0|0|2274.0|0|27.0|0|0.0|100
0|2021-10-28|2309.0|0|2309.0|0|27.0|0|0.0|100
0|2021-10-29|2309.0|0|2309.0|0|27.0|0|0.0|100
0|2021-10-30|2309.0|0|2309.0|0|27.0|0|0.0|100
0|2021-10-31|2309.0|0|2309.0|0|27.0|0|0.0|100
0|2021-11-01|2401.0|0|2401.0|0|28.0|0|0.0|100
0|2021-11-02|2448.0|0|2448.0|0|29.0|0|0.0|100
0|2021-11-03|2471.0|0|2471.0|0|29.0|0|0.0|100
0|2021-11-04|2499.0|0|2499.0|0|29.0|0|0.0|100
0|2021-11-05|2505.0|0|2505.0|0|29.0|0|0.0|100
0|2021-11-06|2505.0|0|2505.0|0|29.0|0|0.0|100
0|2021-11-07|2505.0|0|2505.0|0|29.0|0|0.0|100
0|2021-11-08|2542.0|0|2542.0|0|29.0|0|0.0|100
0|2021-11-09|2550.0|0|2550.0|0|29.0|0|0.0|100
0|2021-11-10|2550.0|0|2552.0|0|29.0|0|0.0|100
0|2021-11-11|2552.0|0|2552.0|0|30.0|0|0.0|100
0|2021-11-12|2565.0|0|2565.0|0|30.0|0|0.0|100
0|2021-11-13|2565.0|0|2565.0|0|30.0|0|0.0|100
0|2021-11-14|2565.0|0|2565.0|0|30.0|0|0.0|100
