|dates|Rockingham_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Rockingham_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Rockingham_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Rockingham_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Rockingham_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Rockingham_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Rockingham_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Rockingham_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11705.0|0|11705.0|0|192.0|0|0.0|100
0|2021-10-18|11812.0|0|11812.0|0|192.0|0|0.0|100
0|2021-10-19|11841.0|0|11841.0|0|192.0|0|0.0|100
0|2021-10-20|11874.0|0|11874.0|0|192.0|0|0.0|100
0|2021-10-21|11931.0|0|11931.0|0|192.0|0|0.0|100
0|2021-10-22|11979.0|0|11979.0|0|193.0|0|0.0|100
0|2021-10-23|11979.0|0|11979.0|0|193.0|0|0.0|100
0|2021-10-24|11979.0|0|11979.0|0|193.0|0|0.0|100
0|2021-10-25|12063.0|0|12063.0|0|193.0|0|0.0|100
0|2021-10-26|12081.0|0|12081.0|0|193.0|0|0.0|100
0|2021-10-27|12112.0|0|12112.0|0|193.0|0|0.0|100
0|2021-10-28|12160.0|0|12160.0|0|193.0|0|0.0|100
0|2021-10-29|12184.0|0|12184.0|0|193.0|0|0.0|100
0|2021-10-30|12184.0|0|12184.0|0|193.0|0|0.0|100
0|2021-10-31|12184.0|0|12184.0|0|193.0|0|0.0|100
0|2021-11-01|12244.0|0|12244.0|0|195.0|0|0.0|100
0|2021-11-02|12257.0|0|12257.0|0|195.0|0|0.0|100
0|2021-11-03|12270.0|0|12270.0|0|195.0|0|0.0|100
0|2021-11-04|12307.0|0|12307.0|0|197.0|0|0.0|100
0|2021-11-05|12332.0|0|12332.0|0|201.0|0|0.0|100
0|2021-11-06|12332.0|0|12332.0|0|201.0|0|0.0|100
0|2021-11-07|12332.0|0|12332.0|0|201.0|0|0.0|100
0|2021-11-08|12433.0|0|12433.0|0|203.0|0|0.0|100
0|2021-11-09|12447.0|0|12447.0|0|203.0|0|0.0|100
0|2021-11-10|12469.0|0|12469.0|0|203.0|0|0.0|100
0|2021-11-11|12469.0|0|12469.0|0|203.0|0|0.0|100
0|2021-11-12|12512.0|0|12512.0|0|205.0|0|0.0|100
0|2021-11-13|12512.0|0|12512.0|0|205.0|0|0.0|100
0|2021-11-14|12512.0|0|12512.0|0|205.0|0|0.0|100
0|2021-11-15|12573.0|0|12573.0|0|207.0|0|0.0|100
0|2021-11-16|12590.0|0|12590.0|0|207.0|0|0.0|100
0|2021-11-17|12607.0|0|12607.0|0|213.0|0|0.0|100
0|2021-11-18|12646.0|0|12646.0|0|214.0|0|0.0|100
0|2021-11-19|12680.0|0|12680.0|0|215.0|0|0.0|100
0|2021-11-20|12680.0|0|12680.0|0|215.0|0|0.0|100
0|2021-11-21|12680.0|0|12680.0|0|215.0|0|0.0|100
0|2021-11-22|12749.0|0|12749.0|0|215.0|0|0.0|100
0|2021-11-23|12767.0|0|12767.0|0|215.0|0|0.0|100
0|2021-11-24|12784.0|0|12784.0|0|217.0|0|0.0|100
0|2021-11-25|12784.0|0|12784.0|0|217.0|0|0.0|100
0|2021-11-26|12784.0|0|12784.0|0|217.0|0|0.0|100
0|2021-11-27|12784.0|0|12784.0|0|217.0|0|0.0|100
0|2021-11-28|12784.0|0|12784.0|0|217.0|0|0.0|100
0|2021-11-29|12951.0|0|12951.0|0|217.0|0|0.0|100
