|dates|LeSueur_Minnesota_UnitedStates.BLS_EmployedPopulation.data|LeSueur_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|LeSueur_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|LeSueur_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|LeSueur_Minnesota_UnitedStates.BLS_UnemploymentRate.data|LeSueur_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|LeSueur_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|LeSueur_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-18|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-19|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-20|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-21|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-22|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-23|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-24|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-25|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-26|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-27|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-28|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-29|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-30|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-10-31|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-01|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-02|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-03|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-04|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-05|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-06|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-07|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-08|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-09|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
0|2021-11-10|15111.0|0|515.0|0|3.295789069499552|0|15626.0|0
