|dates|Menominee_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Menominee_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Menominee_Wisconsin_UnitedStates.Male_Total_Population.data|Menominee_Wisconsin_UnitedStates.Male_Total_Population.missing|Menominee_Wisconsin_UnitedStates.Female_Total_Population.data|Menominee_Wisconsin_UnitedStates.Female_Total_Population.missing|Menominee_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Menominee_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-18|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-19|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-20|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-21|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-22|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-23|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-24|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-25|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-26|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-27|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-28|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-29|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-30|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-10-31|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-01|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-02|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-03|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-04|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-05|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-06|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-07|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-08|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-09|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-10|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-11|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-12|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-13|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-14|615.0|0|2320.0|0|2338.0|0|1580.0|0
0|2021-11-15|615.0|0|2320.0|0|2338.0|0|1580.0|0
