|dates|Smith_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Smith_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Smith_Kansas_UnitedStates.Male_Total_Population.data|Smith_Kansas_UnitedStates.Male_Total_Population.missing|Smith_Kansas_UnitedStates.Female_Total_Population.data|Smith_Kansas_UnitedStates.Female_Total_Population.missing|Smith_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Smith_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-18|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-19|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-20|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-21|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-22|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-23|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-24|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-25|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-26|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-27|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-28|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-29|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-30|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-10-31|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-01|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-02|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-03|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-04|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-05|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-06|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-07|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-08|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-09|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-10|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-11|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-12|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-13|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-14|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-15|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-16|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-17|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-18|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-19|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-20|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-21|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-22|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-23|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-24|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-25|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-26|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-27|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-28|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-29|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-11-30|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-01|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-02|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-03|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-04|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-05|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-06|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-07|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-08|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-09|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-10|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-11|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-12|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-13|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-14|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-15|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-16|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-17|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-18|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-19|997.0|0|1792.0|0|1811.0|0|734.0|0
