|dates|Bibb_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bibb_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bibb_Georgia_UnitedStates.Male_Total_Population.data|Bibb_Georgia_UnitedStates.Male_Total_Population.missing|Bibb_Georgia_UnitedStates.Female_Total_Population.data|Bibb_Georgia_UnitedStates.Female_Total_Population.missing|Bibb_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|Bibb_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-18|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-19|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-20|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-21|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-22|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-23|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-24|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-25|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-26|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-27|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-28|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-29|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-30|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-10-31|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-01|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-02|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-03|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-04|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-05|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-06|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-07|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-08|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-09|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-10|23876.0|0|71847.0|0|81248.0|0|37623.0|0
0|2021-11-11|23876.0|0|71847.0|0|81248.0|0|37623.0|0
