|dates|Russell_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Russell_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Russell_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Russell_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Russell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Russell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Russell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Russell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3448.0|0|3812.0|0|55.0|0|0.0|100
0|2021-10-18|3467.0|0|3812.0|0|55.0|0|0.0|100
0|2021-10-19|3488.0|0|3822.0|0|55.0|0|0.0|100
0|2021-10-20|3504.0|0|3835.0|0|55.0|0|0.0|100
0|2021-10-21|3522.0|0|3843.0|0|55.0|0|0.0|100
0|2021-10-22|3546.0|0|3843.0|0|56.0|0|0.0|100
0|2021-10-23|3546.0|0|3851.0|0|56.0|0|0.0|100
0|2021-10-24|3546.0|0|3851.0|0|56.0|0|0.0|100
0|2021-10-25|3593.0|0|3856.0|0|56.0|0|0.0|100
0|2021-10-26|3627.0|0|3868.0|0|56.0|0|0.0|100
0|2021-10-27|3643.0|0|3868.0|0|56.0|0|0.0|100
0|2021-10-28|3681.0|0|3885.0|0|56.0|0|0.0|100
0|2021-10-29|3746.0|0|3885.0|0|56.0|0|0.0|100
0|2021-10-30|3746.0|0|3895.0|0|56.0|0|0.0|100
0|2021-10-31|3746.0|0|3895.0|0|56.0|0|0.0|100
0|2021-11-01|3755.0|0|3904.0|0|56.0|0|0.0|100
0|2021-11-02|3759.0|0|3904.0|0|56.0|0|0.0|100
0|2021-11-03|3771.0|0|3906.0|0|57.0|0|0.0|100
0|2021-11-04|3773.0|0|3911.0|0|57.0|0|0.0|100
0|2021-11-05|3774.0|0|3927.0|0|57.0|0|0.0|100
0|2021-11-06|3774.0|0|3927.0|0|57.0|0|0.0|100
0|2021-11-07|3774.0|0|3927.0|0|57.0|0|0.0|100
0|2021-11-08|3797.0|0|3927.0|0|57.0|0|0.0|100
0|2021-11-09|3822.0|0|3930.0|0|57.0|0|0.0|100
0|2021-11-10|3822.0|0|3943.0|0|57.0|0|0.0|100
0|2021-11-11|3842.0|0|3947.0|0|57.0|0|0.0|100
0|2021-11-12|3866.0|0|3947.0|0|57.0|0|0.0|100
0|2021-11-13|3866.0|0|3961.0|0|57.0|0|0.0|100
0|2021-11-14|3866.0|0|3961.0|0|57.0|0|0.0|100
0|2021-11-15|3877.0|0|3961.0|0|57.0|0|0.0|100
0|2021-11-16|3897.0|0|3973.0|0|57.0|0|0.0|100
0|2021-11-17|3912.0|0|3982.0|0|57.0|0|0.0|100
0|2021-11-18|3929.0|0|3999.0|0|57.0|0|0.0|100
0|2021-11-19|3940.0|0|3999.0|0|58.0|0|0.0|100
0|2021-11-20|3940.0|0|4004.0|0|58.0|0|0.0|100
0|2021-11-21|3940.0|0|4004.0|0|58.0|0|0.0|100
0|2021-11-22|3960.0|0|4004.0|0|58.0|0|0.0|100
0|2021-11-23|3971.0|0|4009.0|0|58.0|0|0.0|100
0|2021-11-24|3980.0|0|4015.0|0|58.0|0|0.0|100
0|2021-11-25|3980.0|0|4028.0|0|58.0|0|0.0|100
0|2021-11-26|3980.0|0|4028.0|0|58.0|0|0.0|100
0|2021-11-27|3980.0|0|4028.0|0|58.0|0|0.0|100
0|2021-11-28|3980.0|0|4028.0|0|58.0|0|0.0|100
0|2021-11-29|4019.0|0|4043.0|0|59.0|0|0.0|100
0|2021-11-30|4033.0|0|4043.0|0|59.0|0|0.0|100
0|2021-12-01|4041.0|0|4061.0|0|59.0|0|0.0|100
0|2021-12-02|4041.0|0|4082.0|0|59.0|0|0.0|100
0|2021-12-03|4067.0|0|4096.0|0|59.0|0|0.0|100
0|2021-12-04|4067.0|0|4099.0|0|59.0|0|0.0|100
0|2021-12-05|4067.0|0|4099.0|0|59.0|0|0.0|100
0|2021-12-06|4085.0|0|4113.0|0|61.0|0|0.0|100
0|2021-12-07|4104.0|0|4131.0|0|61.0|0|0.0|100
0|2021-12-08|4130.0|0|4131.0|0|61.0|0|0.0|100
