|dates|Norton_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Norton_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Norton_Kansas_UnitedStates.Male_Total_Population.data|Norton_Kansas_UnitedStates.Male_Total_Population.missing|Norton_Kansas_UnitedStates.Female_Total_Population.data|Norton_Kansas_UnitedStates.Female_Total_Population.missing|Norton_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Norton_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-18|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-19|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-20|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-21|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-22|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-23|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-24|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-25|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-26|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-27|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-28|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-29|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-30|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-10-31|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-01|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-02|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-03|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-04|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-05|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-06|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-07|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-08|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-09|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-10|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-11|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-12|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-13|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-14|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-15|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-16|1112.0|0|3035.0|0|2395.0|0|1040.0|0
0|2021-11-17|1112.0|0|3035.0|0|2395.0|0|1040.0|0
