|dates|Idaho_Idaho_UnitedStates.JHU_ConfirmedCases.data|Idaho_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Idaho_Idaho_UnitedStates.NYT_ConfirmedCases.data|Idaho_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Idaho_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Idaho_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Idaho_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Idaho_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2012.0|0|2033.0|0|31.0|0|0.0|100
0|2021-10-18|2022.0|0|2043.0|0|31.0|0|0.0|100
0|2021-10-19|2029.0|0|2050.0|0|31.0|0|0.0|100
0|2021-10-20|2037.0|0|2058.0|0|31.0|0|0.0|100
0|2021-10-21|2042.0|0|2062.0|0|32.0|0|0.0|100
0|2021-10-22|2056.0|0|2075.0|0|32.0|0|0.0|100
0|2021-10-23|2056.0|0|2075.0|0|32.0|0|0.0|100
0|2021-10-24|2056.0|0|2075.0|0|32.0|0|0.0|100
0|2021-10-25|2075.0|0|2094.0|0|33.0|0|0.0|100
0|2021-10-26|2083.0|0|2102.0|0|34.0|0|0.0|100
0|2021-10-27|2094.0|0|2113.0|0|34.0|0|0.0|100
0|2021-10-28|2096.0|0|2115.0|0|35.0|0|0.0|100
0|2021-10-29|2114.0|0|2133.0|0|35.0|0|0.0|100
0|2021-10-30|2114.0|0|2133.0|0|35.0|0|0.0|100
0|2021-10-31|2114.0|0|2133.0|0|35.0|0|0.0|100
0|2021-11-01|2132.0|0|2151.0|0|36.0|0|0.0|100
0|2021-11-02|2139.0|0|2160.0|0|36.0|0|0.0|100
0|2021-11-03|2159.0|0|2178.0|0|36.0|0|0.0|100
0|2021-11-04|2164.0|0|2185.0|0|36.0|0|0.0|100
0|2021-11-05|2170.0|0|2189.0|0|36.0|0|0.0|100
0|2021-11-06|2170.0|0|2189.0|0|36.0|0|0.0|100
0|2021-11-07|2170.0|0|2189.0|0|36.0|0|0.0|100
0|2021-11-08|2186.0|0|2205.0|0|36.0|0|0.0|100
0|2021-11-09|2194.0|0|2213.0|0|36.0|0|0.0|100
0|2021-11-10|2194.0|0|2220.0|0|36.0|0|0.0|100
0|2021-11-11|2201.0|0|2220.0|0|36.0|0|0.0|100
0|2021-11-12|2223.0|0|2242.0|0|38.0|0|0.0|100
0|2021-11-13|2223.0|0|2242.0|0|38.0|0|0.0|100
0|2021-11-14|2223.0|0|2242.0|0|38.0|0|0.0|100
0|2021-11-15|2246.0|0|2266.0|0|38.0|0|0.0|100
0|2021-11-16|2246.0|0|2266.0|0|38.0|0|0.0|100
0|2021-11-17|2254.0|0|2274.0|0|38.0|0|0.0|100
0|2021-11-18|2259.0|0|2280.0|0|38.0|0|0.0|100
0|2021-11-19|2267.0|0|2287.0|0|38.0|0|0.0|100
0|2021-11-20|2267.0|0|2287.0|0|38.0|0|0.0|100
0|2021-11-21|2267.0|0|2287.0|0|38.0|0|0.0|100
0|2021-11-22|2273.0|0|2293.0|0|38.0|0|0.0|100
0|2021-11-23|2281.0|0|2301.0|0|39.0|0|0.0|100
0|2021-11-24|2286.0|0|2306.0|0|39.0|0|0.0|100
0|2021-11-25|2286.0|0|2306.0|0|39.0|0|0.0|100
0|2021-11-26|2287.0|0|2307.0|0|39.0|0|0.0|100
0|2021-11-27|2287.0|0|2307.0|0|39.0|0|0.0|100
0|2021-11-28|2287.0|0|2307.0|0|39.0|0|0.0|100
0|2021-11-29|2291.0|0|2311.0|0|39.0|0|0.0|100
0|2021-11-30|2299.0|0|2319.0|0|39.0|0|0.0|100
0|2021-12-01|2307.0|0|2327.0|0|39.0|0|0.0|100
0|2021-12-02|2307.0|0|2331.0|0|39.0|0|0.0|100
0|2021-12-03|2315.0|0|2335.0|0|39.0|0|0.0|100
0|2021-12-04|2315.0|0|2335.0|0|39.0|0|0.0|100
0|2021-12-05|2315.0|0|2335.0|0|39.0|0|0.0|100
0|2021-12-06|2327.0|0|2347.0|0|39.0|0|0.0|100
