|dates|Waldo_Maine_UnitedStates.JHU_ConfirmedCases.data|Waldo_Maine_UnitedStates.JHU_ConfirmedCases.missing|Waldo_Maine_UnitedStates.NYT_ConfirmedCases.data|Waldo_Maine_UnitedStates.NYT_ConfirmedCases.missing|Waldo_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Waldo_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Waldo_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Waldo_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2275.0|0|2275.0|0|31.0|0|0.0|100
0|2021-10-18|2275.0|0|2275.0|0|31.0|0|0.0|100
0|2021-10-19|2303.0|0|2303.0|0|31.0|0|0.0|100
0|2021-10-20|2332.0|0|2332.0|0|31.0|0|0.0|100
0|2021-10-21|2348.0|0|2348.0|0|31.0|0|0.0|100
0|2021-10-22|2383.0|0|2383.0|0|31.0|0|0.0|100
0|2021-10-23|2401.0|0|2401.0|0|31.0|0|0.0|100
0|2021-10-24|2401.0|0|2401.0|0|31.0|0|0.0|100
0|2021-10-25|2401.0|0|2401.0|0|31.0|0|0.0|100
0|2021-10-26|2443.0|0|2443.0|0|33.0|0|0.0|100
0|2021-10-27|2454.0|0|2454.0|0|33.0|0|0.0|100
0|2021-10-28|2474.0|0|2474.0|0|33.0|0|0.0|100
0|2021-10-29|2479.0|0|2479.0|0|33.0|0|0.0|100
0|2021-10-30|2495.0|0|2495.0|0|33.0|0|0.0|100
0|2021-10-31|2495.0|0|2495.0|0|33.0|0|0.0|100
0|2021-11-01|2495.0|0|2495.0|0|33.0|0|0.0|100
0|2021-11-02|2529.0|0|2529.0|0|34.0|0|0.0|100
0|2021-11-03|2544.0|0|2544.0|0|34.0|0|0.0|100
0|2021-11-04|2558.0|0|2558.0|0|34.0|0|0.0|100
0|2021-11-05|2580.0|0|2580.0|0|34.0|0|0.0|100
0|2021-11-06|2599.0|0|2599.0|0|34.0|0|0.0|100
0|2021-11-07|2599.0|0|2599.0|0|34.0|0|0.0|100
0|2021-11-08|2599.0|0|2599.0|0|34.0|0|0.0|100
