|dates|Taylor_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Taylor_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Taylor_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Taylor_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Taylor_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Taylor_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Taylor_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Taylor_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5242.0|0|5537.0|0|79.0|0|0.0|100
0|2021-10-18|5266.0|0|5537.0|0|79.0|0|0.0|100
0|2021-10-19|5272.0|0|5571.0|0|79.0|0|0.0|100
0|2021-10-20|5280.0|0|5588.0|0|79.0|0|0.0|100
0|2021-10-21|5288.0|0|5617.0|0|79.0|0|0.0|100
0|2021-10-22|5307.0|0|5617.0|0|79.0|0|0.0|100
0|2021-10-23|5307.0|0|5627.0|0|79.0|0|0.0|100
0|2021-10-24|5307.0|0|5627.0|0|79.0|0|0.0|100
0|2021-10-25|5341.0|0|5641.0|0|79.0|0|0.0|100
0|2021-10-26|5363.0|0|5655.0|0|79.0|0|0.0|100
0|2021-10-27|5384.0|0|5655.0|0|79.0|0|0.0|100
0|2021-10-28|5418.0|0|5696.0|0|79.0|0|0.0|100
0|2021-10-29|5440.0|0|5696.0|0|80.0|0|0.0|100
0|2021-10-30|5440.0|0|5709.0|0|80.0|0|0.0|100
0|2021-10-31|5440.0|0|5709.0|0|80.0|0|0.0|100
0|2021-11-01|5458.0|0|5718.0|0|81.0|0|0.0|100
0|2021-11-02|5476.0|0|5718.0|0|81.0|0|0.0|100
0|2021-11-03|5483.0|0|5721.0|0|82.0|0|0.0|100
0|2021-11-04|5495.0|0|5745.0|0|82.0|0|0.0|100
0|2021-11-05|5502.0|0|5781.0|0|82.0|0|0.0|100
0|2021-11-06|5502.0|0|5781.0|0|82.0|0|0.0|100
